Frame         Time          Elec          VdW           Total         
0             0             -297.324      -7.7018       -305.026      
1             1             -429.552      -12.975       -442.527      
2             2             -463.087      -10.9739      -474.061      
3             3             -474.519      -11.9838      -486.503      
4             4             -514.974      -4.178        -519.152      
5             5             -403.293      -3.653        -406.946      
6             6             -491.139      -1.2275       -492.366      
7             7             -465.521      -0.2156       -465.737      
8             8             -400.909      -9.2216       -410.13       
9             9             -350.086      -5.0267       -355.113      
10            10            -373.713      -4.7138       -378.427      
11            11            -480.631      -5.0153       -485.646      
12            12            -377.201      -4.1538       -381.354      
13            13            -402.688      -4.1556       -406.843      
14            14            -360.909      -2.2528       -363.162      
15            15            -459.808      -4.2416       -464.05       
16            16            -432.8        -1.5213       -434.321      
17            17            -469.217      -1.6763       -470.893      
18            18            -431.347      -3.4236       -434.771      
19            19            -446.764      -2.2337       -448.998      
20            20            -533.985      -2.3111       -536.296      
21            21            -451.44       -5.4681       -456.908      
22            22            -485.584      -8.7064       -494.29       
23            23            -429.947      -4.8069       -434.754      
24            24            -635.476      -5.7765       -641.253      
25            25            -628.841      -2.2357       -631.076      
26            26            -551.372      -6.9765       -558.349      
27            27            -601.492      -9.0699       -610.562      
28            28            -537.929      -5.2866       -543.216      
29            29            -613.81       -2.781        -616.591      
30            30            -591.371      +0.7274       -590.643      
31            31            -495.423      -3.3672       -498.791      
32            32            -537.507      -2.087        -539.594      
33            33            -600.226      -1.1991       -601.425      
34            34            -614.735      -0.8648       -615.599      
35            35            -594.369      -3.5266       -597.896      
36            36            -613.957      -1.0256       -614.983      
37            37            -595.375      -3.4313       -598.806      
38            38            -616.057      -5.3359       -621.393      
39            39            -535.301      -5.6283       -540.93       
40            40            -530.237      +0.6424       -529.595      
41            41            -521.473      -0.8321       -522.305      
42            42            -562.647      -5.5561       -568.203      
43            43            -515.013      -4.2046       -519.217      
44            44            -509.818      -1.0948       -510.913      
45            45            -510.739      -8.6646       -519.404      
46            46            -370.152      -5.9478       -376.1        
47            47            -363.395      -9.9737       -373.368      
48            48            -411.334      -3.6628       -414.997      
49            49            -444.372      -4.2567       -448.629      
50            50            -454.283      -4.1057       -458.389      
51            51            -453.104      -5.975        -459.079      
52            52            -393.881      -4.4649       -398.346      
53            53            -479.446      -1.4586       -480.904      
54            54            -425.652      -1.2044       -426.857      
55            55            -379.798      -3.8296       -383.628      
56            56            -456.998      +0.036        -456.962      
57            57            -524.958      -5.3802       -530.338      
58            58            -524.565      -6.3966       -530.962      
59            59            -439.879      -5.0716       -444.951      
60            60            -540.019      -5.008        -545.027      
61            61            -513.498      -4.5002       -517.998      
62            62            -539.367      -1.0939       -540.46       
63            63            -536.297      -3.7254       -540.022      
64            64            -576.027      -7.354        -583.381      
65            65            -543.273      -8.1406       -551.413      
66            66            -557.9        -10.1821      -568.082      
67            67            -548.155      -5.1502       -553.305      
68            68            -582.979      -1.6009       -584.58       
69            69            -532.676      -6.0064       -538.683      
70            70            -637.8        -8.3327       -646.133      
71            71            -555.247      -9.3148       -564.562      
72            72            -597.543      -12.6543      -610.197      
73            73            -486.59       -11.9441      -498.534      
74            74            -463.127      -9.0109       -472.138      
75            75            -528.891      -10.9909      -539.882      
76            76            -478.065      -9.2289       -487.294      
77            77            -432.414      -11.9203      -444.334      
78            78            -409.736      -12.4543      -422.19       
79            79            -376.348      -9.5049       -385.853      
80            80            -530.911      -12.2014      -543.112      
81            81            -489.92       -8.929        -498.849      
82            82            -549.209      -8.8416       -558.05       
83            83            -545.384      -10.6778      -556.062      
84            84            -558.145      -9.1173       -567.263      
85            85            -543.856      -6.3875       -550.244      
86            86            -677.208      -9.5351       -686.743      
87            87            -574.408      -5.3976       -579.806      
88            88            -593.147      -2.008        -595.155      
89            89            -575.527      +0.3953       -575.131      
90            90            -589.91       +0.2688       -589.641      
91            91            -584.905      +1.6087       -583.296      
92            92            -731.07       -4.5971       -735.667      
93            93            -756.374      -11.6229      -767.997      
94            94            -811.293      -6.3898       -817.683      
95            95            -764.922      -4.9902       -769.912      
96            96            -824.028      -12.329       -836.357      
97            97            -753.801      -7.1971       -760.998      
98            98            -794.85       -9.8006       -804.65       
99            99            -708.255      -10.9614      -719.217      
100           100           -768.112      -8.9332       -777.045      
101           101           -640.578      -11.0406      -651.619      
102           102           -563.018      -8.7707       -571.789      
103           103           -580.971      -14.1098      -595.081      
104           104           -676.029      -13.1376      -689.167      
105           105           -610.675      -14.3327      -625.007      
106           106           -704.064      -10.4273      -714.492      
107           107           -636.049      -9.334        -645.383      
108           108           -662.372      -7.296        -669.668      
109           109           -687.558      -9.0503       -696.608      
110           110           -650.566      -14.3438      -664.909      
111           111           -579.741      -13.7206      -593.462      
112           112           -593.927      -11.6318      -605.559      
113           113           -461.336      -2.0755       -463.411      
114           114           -549.478      -2.1161       -551.594      
115           115           -522.049      -3.7419       -525.791      
116           116           -495.889      -3.4406       -499.33       
117           117           -414.696      -2.4481       -417.144      
118           118           -527.065      -3.0923       -530.157      
119           119           -501.567      -2.2687       -503.836      
120           120           -454.173      -1.3215       -455.495      
121           121           -414.462      -0.8996       -415.361      
122           122           -410.127      -0.3085       -410.435      
123           123           -375.52       -0.2159       -375.736      
124           124           -351.124      -0.5109       -351.635      
125           125           -390.762      -0.2807       -391.043      
126           126           -351.671      -0.1452       -351.816      
127           127           -315.318      -0.193        -315.511      
128           128           -346.762      -0.2299       -346.992      
129           129           -320.676      -0.589        -321.265      
130           130           -341.358      -0.6518       -342.009      
131           131           -355.603      -0.3629       -355.966      
132           132           -363.509      -0.3369       -363.846      
133           133           -403.279      -0.5897       -403.869      
134           134           -489.059      -0.9798       -490.038      
135           135           -424.009      -0.2772       -424.286      
136           136           -437.798      -0.6439       -438.441      
137           137           -432.431      -0.3708       -432.802      
138           138           -324.955      -1.2218       -326.177      
139           139           -408.178      -0.751        -408.928      
140           140           -328.727      -0.8527       -329.58       
141           141           -352.414      -4.7058       -357.12       
142           142           -374.929      -1.9062       -376.835      
143           143           -327.931      -0.6324       -328.563      
144           144           -235.527      -4.6554       -240.182      
145           145           -301.793      -1.4569       -303.25       
146           146           -247.986      -0.5969       -248.583      
147           147           -284.91       -0.7394       -285.649      
148           148           -295.506      -0.4929       -295.999      
149           149           -271.451      -0.4611       -271.912      
150           150           -275.093      -0.5141       -275.607      
151           151           -246.955      -1.0773       -248.032      
152           152           -244.155      -1.1888       -245.344      
153           153           -227.946      -0.451        -228.397      
154           154           -192.85       -0.2914       -193.141      
155           155           -152.815      -0.1555       -152.971      
156           156           -171.187      -0.1701       -171.357      
157           157           -196.405      -0.0825       -196.488      
158           158           -214.466      -0.1641       -214.63       
159           159           -198.579      -0.6958       -199.275      
160           160           -256.445      -0.2609       -256.706      
161           161           -334.138      -0.5893       -334.727      
162           162           -343.077      -0.6073       -343.685      
163           163           -416.407      -0.9491       -417.356      
164           164           -391.68       -1.1441       -392.825      
165           165           -409.563      -1.5668       -411.13       
166           166           -463.063      -1.3515       -464.415      
167           167           -397.33       -0.6928       -398.023      
168           168           -395.293      -0.3901       -395.683      
169           169           -309.387      -0.3511       -309.738      
170           170           -338.542      -0.326        -338.868      
171           171           -445.696      -2.4453       -448.142      
172           172           -417.052      -0.7745       -417.826      
173           173           -348.705      -1.0778       -349.783      
174           174           -289.317      -1.7107       -291.028      
175           175           -319.951      -3.0478       -322.999      
176           176           -286.53       -4.0721       -290.602      
177           177           -253.89       -0.6721       -254.562      
178           178           -230.829      -0.3539       -231.183      
179           179           -232.792      -0.3621       -233.154      
180           180           -229.559      -0.4098       -229.969      
181           181           -274.802      -0.4255       -275.228      
182           182           -248.157      -0.4417       -248.599      
183           183           -255.643      -0.2782       -255.921      
184           184           -275.365      -0.5012       -275.866      
185           185           -267.182      -0.1446       -267.327      
186           186           -260.463      -0.2907       -260.754      
187           187           -278.268      -0.1154       -278.383      
188           188           -246.316      -0.3064       -246.623      
189           189           -209.768      -0.3964       -210.165      
190           190           -244.711      -0.4707       -245.181      
191           191           -273.433      -0.236        -273.669      
192           192           -208.352      -0.1826       -208.534      
193           193           -230.482      -0.5638       -231.046      
194           194           -210.22       -0.2102       -210.43       
195           195           -212.489      -0.2274       -212.717      
196           196           -248.554      -0.1287       -248.683      
197           197           -249.082      -0.2258       -249.308      
198           198           -254.183      -0.1964       -254.38       
199           199           -232.256      -0.3208       -232.577      
200           200           -254.184      -0.3479       -254.532      
201           201           -284.064      -0.479        -284.543      
202           202           -267.587      -0.3048       -267.892      
203           203           -242.612      -0.5413       -243.153      
204           204           -268.627      -0.347        -268.974      
205           205           -300.82       -0.2005       -301.021      
206           206           -290.039      -0.1438       -290.183      
207           207           -236.277      -0.2189       -236.496      
208           208           -231.142      -0.1796       -231.321      
209           209           -214.025      -0.2029       -214.228      
210           210           -249.521      -0.225        -249.746      
211           211           -220.994      -0.4438       -221.437      
212           212           -305.854      -0.3707       -306.224      
213           213           -264.136      -0.199        -264.335      
214           214           -325.611      -0.1966       -325.808      
215           215           -220.259      -0.3986       -220.657      
216           216           -166.04       -0.1687       -166.209      
217           217           -215.921      -0.1782       -216.099      
218           218           -243.497      -0.0864       -243.583      
219           219           -221.301      -0.2666       -221.567      
220           220           -273.396      -0.1531       -273.549      
221           221           -255.425      -0.1557       -255.581      
222           222           -217.432      -0.2319       -217.663      
223           223           -234.443      -0.2025       -234.645      
224           224           -216.256      -0.3168       -216.572      
225           225           -225.33       -0.1291       -225.459      
226           226           -240.035      -0.4659       -240.501      
227           227           -241.871      -0.1461       -242.017      
228           228           -230.23       -0.4885       -230.718      
229           229           -225.606      -0.3496       -225.956      
230           230           -301.302      -0.8037       -302.105      
231           231           -333.134      -1.5734       -334.707      
232           232           -330.636      -0.7929       -331.429      
233           233           -347.419      -0.3122       -347.731      
234           234           -389.69       +4.287        -385.403      
235           235           -377.727      -0.0294       -377.757      
236           236           -383.33       -1.9619       -385.292      
237           237           -385.606      +2.1122       -383.494      
238           238           -359.772      -1.0365       -360.809      
239           239           -362.206      +1.7417       -360.464      
240           240           -431.616      -0.5858       -432.201      
241           241           -448.254      +0.7925       -447.462      
242           242           -463.529      +2.8056       -460.724      
243           243           -444.522      -4.4589       -448.981      
244           244           -456.038      -4.3323       -460.37       
245           245           -360.836      -6.0995       -366.936      
246           246           -402.83       -8.6629       -411.493      
247           247           -359.946      -8.095        -368.041      
248           248           -399.303      -7.0808       -406.384      
249           249           -400.974      -10.0333      -411.007      
250           250           -388.187      +0.0145       -388.173      
251           251           -362.678      -4.2261       -366.904      
252           252           -309.737      -3.9583       -313.695      
253           253           -326.797      -4.1789       -330.976      
254           254           -358.07       -3.4286       -361.498      
255           255           -365.367      -3.3996       -368.767      
256           256           -311.405      -3.2437       -314.649      
257           257           -322.959      -3.2275       -326.187      
258           258           -315.948      -2.7107       -318.659      
259           259           -291.299      -4.1737       -295.473      
260           260           -292.355      -5.0254       -297.38       
261           261           -334.714      -2.8633       -337.578      
262           262           -342.335      -2.4179       -344.752      
263           263           -320.828      -6.8117       -327.639      
264           264           -401.462      -4.4049       -405.866      
265           265           -373.606      -5.3863       -378.993      
266           266           -400.998      +1.0598       -399.939      
267           267           -357.896      -6.1193       -364.015      
268           268           -334.7        -6.4114       -341.111      
269           269           -290.324      -3.2035       -293.527      
270           270           -311.734      -2.5347       -314.268      
271           271           -253.287      -3.5305       -256.817      
272           272           -249.192      -3.0777       -252.27       
273           273           -197.553      -4.2219       -201.775      
274           274           -190.895      -2.7107       -193.606      
275           275           -255.113      -2.8707       -257.984      
276           276           -336.35       +1.9736       -334.377      
277           277           -317.31       -3.0483       -320.358      
278           278           -252.013      -3.9988       -256.012      
279           279           -227.131      -1.2925       -228.424      
280           280           -275.184      -3.4869       -278.671      
281           281           -328.812      -2.5961       -331.408      
282           282           -242.045      -3.0817       -245.127      
283           283           -291.258      -0.4534       -291.711      
284           284           -373.699      -4.2984       -377.998      
285           285           -483.665      -3.024        -486.689      
286           286           -442.515      -2.6229       -445.137      
287           287           -387.219      -1.8493       -389.068      
288           288           -340.039      +1.8251       -338.214      
289           289           -359.701      -3.5763       -363.277      
290           290           -356.346      -1.7997       -358.146      
291           291           -359.296      -0.0775       -359.374      
292           292           -275.277      -2.0143       -277.291      
293           293           -325.634      -4.3294       -329.963      
294           294           -309.78       -2.7449       -312.525      
295           295           -314.593      -2.5876       -317.181      
296           296           -330.992      -0.2909       -331.283      
297           297           -369.217      -3.6594       -372.877      
298           298           -349.885      -4.5858       -354.471      
299           299           -326.629      -1.1489       -327.778      
300           300           -335.965      -4.8744       -340.84       
301           301           -340.588      -4.597        -345.185      
302           302           -379.7        -3.1858       -382.886      
303           303           -353.009      -4.5765       -357.586      
304           304           -398.981      +0.2512       -398.73       
305           305           -433.91       +1.7115       -432.199      
306           306           -441.474      -5.9967       -447.47       
307           307           -496.582      -0.7916       -497.374      
308           308           -389.033      -5.1339       -394.166      
309           309           -464.706      -4.0129       -468.719      
310           310           -466.413      -4.9242       -471.337      
311           311           -457.611      -4.6476       -462.259      
312           312           -602.987      -2.0382       -605.025      
313           313           -419.543      -0.6556       -420.199      
314           314           -401.229      -1.8257       -403.055      
315           315           -409.804      -1.4622       -411.266      
316           316           -385.454      -0.8832       -386.337      
317           317           -382.925      -1.0936       -384.019      
318           318           -473.899      -2.5179       -476.417      
319           319           -454.859      -1.9086       -456.767      
320           320           -403.939      -2.1307       -406.07       
321           321           -443.619      -2.5499       -446.168      
322           322           -459.481      -3.5173       -462.998      
323           323           -448.635      -2.6809       -451.316      
324           324           -414.635      -3.1653       -417.8        
325           325           -403.137      -2.1656       -405.302      
326           326           -423.262      -2.7999       -426.062      
327           327           -379.058      -1.2808       -380.339      
328           328           -371.341      -3.6778       -375.018      
329           329           -325.272      -2.9229       -328.195      
330           330           -299.28       -3.1066       -302.386      
331           331           -406.752      -4.1612       -410.913      
332           332           -406.92       -5.8096       -412.729      
333           333           -426.578      -3.9915       -430.569      
334           334           -383.515      -3.1012       -386.616      
335           335           -495.42       -4.3711       -499.791      
336           336           -454.424      -0.1648       -454.589      
337           337           -463.745      -4.6138       -468.359      
338           338           -557.687      -2.052        -559.739      
339           339           -469.749      +1.3758       -468.373      
340           340           -503.962      -2.0264       -505.989      
341           341           -538.66       -3.08         -541.74       
342           342           -463.911      +1.3638       -462.547      
343           343           -512.627      -1.9233       -514.55       
344           344           -528.196      -2.071        -530.267      
345           345           -539.304      -0.0977       -539.402      
346           346           -488.992      -3.9537       -492.946      
347           347           -514.952      -0.2505       -515.203      
348           348           -442.253      -4.3338       -446.587      
349           349           -401.024      -2.348        -403.372      
