Frame         Time          Elec          VdW           Total         
0             0             -1160.12      -93.3666      -1253.48      
1             1             -1064.21      -90.1949      -1154.41      
2             2             -1071.11      -97.3357      -1168.45      
3             3             -1133.64      -79.097       -1212.73      
4             4             -1118.48      -91.8188      -1210.3       
5             5             -1161.79      -84.2683      -1246.06      
6             6             -1191.76      -89.1062      -1280.87      
7             7             -1155.09      -79.6942      -1234.78      
8             8             -1197.67      -83.11        -1280.78      
9             9             -1190.64      -78.8087      -1269.45      
10            10            -1011.23      -79.1429      -1090.37      
11            11            -971.929      -71.0154      -1042.94      
12            12            -1031.41      -82.244       -1113.65      
13            13            -1045.62      -77.4182      -1123.04      
14            14            -1039.17      -77.6529      -1116.82      
15            15            -970.004      -82.0976      -1052.1       
16            16            -973.085      -84.1715      -1057.26      
17            17            -961.198      -79.6792      -1040.88      
18            18            -999.694      -91.3194      -1091.01      
19            19            -1061.34      -85.7065      -1147.04      
20            20            -1059.41      -81.0882      -1140.5       
21            21            -1018.28      -85.2763      -1103.55      
22            22            -1040.49      -86.2851      -1126.78      
23            23            -1074.45      -78.4993      -1152.95      
24            24            -1097.09      -91.8409      -1188.93      
25            25            -1126.17      -80.9547      -1207.13      
26            26            -1100.4       -97.353       -1197.75      
27            27            -1054.34      -87.6611      -1142         
28            28            -1020.22      -75.0874      -1095.31      
29            29            -973.079      -87.5068      -1060.59      
30            30            -1084.3       -87.6312      -1171.93      
31            31            -1074.82      -87.5166      -1162.34      
32            32            -1031.89      -76.7348      -1108.62      
33            33            -1065.64      -79.9668      -1145.61      
34            34            -1018.92      -78.4324      -1097.35      
35            35            -1077.69      -78.937       -1156.62      
36            36            -1100.7       -67.318       -1168.02      
37            37            -1127.41      -84.8694      -1212.28      
38            38            -1030.08      -83.271       -1113.35      
39            39            -1155.91      -81.9922      -1237.9       
40            40            -1142.45      -82.2749      -1224.73      
41            41            -1160.54      -83.7758      -1244.31      
42            42            -1149.49      -86.6255      -1236.12      
