Frame         Time          Elec          VdW           Total         
0             0             -1141.33      -98.2714      -1239.6       
1             1             -1166.35      -95.0485      -1261.4       
2             2             -1119.55      -93.2629      -1212.82      
3             3             -1103.82      -92.714       -1196.54      
4             4             -1213.98      -74.3071      -1288.29      
5             5             -1192.43      -68.8186      -1261.25      
6             6             -1184.88      -65.3087      -1250.19      
7             7             -1159.61      -69.3449      -1228.96      
8             8             -1097.58      -70.4228      -1168         
9             9             -1159.31      -66.7618      -1226.08      
10            10            -1132.19      -69.6684      -1201.86      
11            11            -1144.01      -61.7597      -1205.77      
12            12            -1169.41      -69.4256      -1238.84      
13            13            -1151.83      -70.3223      -1222.15      
14            14            -1223.87      -58.921       -1282.79      
15            15            -1272.37      -61.3065      -1333.67      
16            16            -1264.23      -60.9566      -1325.19      
17            17            -1248.69      -64.0717      -1312.77      
18            18            -1314.3       -71.8162      -1386.12      
19            19            -1273.81      -60.2592      -1334.07      
20            20            -1337.38      -65.4412      -1402.82      
21            21            -1208.01      -73.66        -1281.67      
22            22            -1216.5       -73.3884      -1289.89      
23            23            -1263.39      -64.5234      -1327.91      
24            24            -1179.54      -62.4123      -1241.95      
25            25            -1185.09      -54.9137      -1240         
26            26            -1149.91      -59.4164      -1209.33      
27            27            -1181.23      -65.3251      -1246.55      
28            28            -1201.28      -57.3871      -1258.67      
29            29            -1232.5       -50.8738      -1283.37      
30            30            -1252.15      -41.5468      -1293.69      
31            31            -1273.97      -49.5922      -1323.56      
32            32            -1199.75      -54.9524      -1254.7       
33            33            -1245.93      -63.9444      -1309.88      
34            34            -1082.39      -54.005       -1136.39      
35            35            -1076.31      -60.2179      -1136.53      
36            36            -1158.1       -59.6784      -1217.78      
37            37            -1045.47      -60.1694      -1105.64      
38            38            -1038.98      -45.5104      -1084.49      
39            39            -983.149      -58.0083      -1041.16      
40            40            -937.055      -53.0277      -990.083      
41            41            -920.858      -67.0082      -987.866      
42            42            -911.561      -51.0975      -962.658      
43            43            -900.679      -60.4829      -961.161      
44            44            -955.851      -63.0033      -1018.85      
45            45            -892.074      -57.2532      -949.327      
46            46            -959.887      -53.344       -1013.23      
47            47            -821.153      -55.3715      -876.524      
48            48            -874.723      -60.3496      -935.073      
49            49            -829.937      -49.6953      -879.632      
50            50            -863.043      -56.7794      -919.822      
51            51            -801.555      -60.3388      -861.894      
52            52            -840.516      -64.6984      -905.215      
53            53            -939.956      -59.3384      -999.294      
54            54            -842.634      -41.6384      -884.273      
55            55            -887.535      -65.7118      -953.247      
56            56            -897.719      -53.5481      -951.267      
57            57            -853.262      -52.0622      -905.324      
58            58            -846.666      -55.8172      -902.483      
59            59            -871.743      -52.2959      -924.038      
60            60            -801.225      -57.3964      -858.621      
61            61            -816.267      -55.1559      -871.423      
62            62            -878.954      -58.3392      -937.293      
63            63            -998.332      -57.0986      -1055.43      
64            64            -926.133      -55.5011      -981.635      
65            65            -903.165      -53.7695      -956.934      
66            66            -920.061      -55.2216      -975.283      
67            67            -885.879      -55.4299      -941.309      
68            68            -856.634      -52.3381      -908.972      
69            69            -1010.66      -57.0133      -1067.67      
70            70            -898.884      -55.4091      -954.293      
71            71            -856.386      -53.5088      -909.895      
72            72            -772.547      -48.1951      -820.743      
73            73            -827.235      -50.205       -877.44       
74            74            -869.779      -51.2891      -921.068      
75            75            -815.993      -51.7597      -867.753      
76            76            -943.614      -46.9257      -990.54       
77            77            -880.296      -49.7759      -930.072      
78            78            -793.818      -38.6672      -832.485      
79            79            -895.062      -42.5935      -937.655      
