Frame         Time          Elec          VdW           Total         
0             0             -468.175      -84.4509      -552.626      
1             1             -456.896      -81.2107      -538.106      
2             2             -375.628      -85.1491      -460.777      
3             3             -529.525      -91.0057      -620.53       
4             4             -538.015      -80.6735      -618.689      
5             5             -503.607      -82.3466      -585.954      
6             6             -537.256      -81.2308      -618.487      
7             7             -548.103      -81.4533      -629.557      
8             8             -365.647      -72.4689      -438.116      
9             9             -267.143      -86.0071      -353.15       
10            10            -351.972      -78.352       -430.324      
11            11            -446.65       -81.4865      -528.137      
12            12            -454.178      -65.5118      -519.69       
13            13            -424.584      -64.5544      -489.139      
14            14            -405.58       -78.0939      -483.674      
15            15            -465.57       -77.6721      -543.243      
16            16            -556.236      -84.8964      -641.132      
17            17            -591.872      -65.3207      -657.193      
18            18            -381.5        -74.2352      -455.735      
19            19            -396.092      -72.8835      -468.976      
20            20            -545.407      -80.6804      -626.087      
21            21            -439.432      -80.0915      -519.524      
22            22            -587.683      -77.8726      -665.555      
23            23            -534.913      -95.0798      -629.992      
24            24            -509.464      -84.1435      -593.607      
25            25            -390.207      -86.5142      -476.721      
26            26            -475.968      -74.7883      -550.756      
27            27            -615.2        -72.2439      -687.444      
28            28            -609.636      -73.9768      -683.613      
29            29            -521.591      -69.629       -591.221      
30            30            -488.667      -75.8863      -564.553      
31            31            -588.617      -65.573       -654.19       
32            32            -522.634      -70.9054      -593.54       
33            33            -609.46       -66.9478      -676.408      
34            34            -589.391      -81.0726      -670.464      
35            35            -537.876      -78.7556      -616.631      
36            36            -526.306      -79.0329      -605.339      
37            37            -477.791      -84.4708      -562.261      
38            38            -578.51       -82.737       -661.246      
39            39            -631.112      -79.2505      -710.362      
40            40            -672.191      -73.5493      -745.74       
41            41            -717.631      -80.9488      -798.58       
42            42            -581.981      -74.1445      -656.126      
43            43            -803.47       -59.36        -862.83       
44            44            -660.052      -64.3575      -724.409      
45            45            -548.288      -66.299       -614.587      
46            46            -543.136      -77.7883      -620.924      
47            47            -707.476      -65.6337      -773.11       
48            48            -530.728      -65.527       -596.255      
49            49            -620.124      -75.3314      -695.456      
50            50            -571.803      -72.0056      -643.808      
51            51            -676.219      -72.9392      -749.158      
52            52            -544.203      -81.1334      -625.336      
53            53            -683.412      -65.1178      -748.53       
54            54            -599.988      -56.5589      -656.547      
55            55            -604.196      -80.6582      -684.854      
56            56            -629.236      -62.8869      -692.123      
57            57            -587.992      -77.6676      -665.66       
58            58            -617.091      -74.3538      -691.445      
59            59            -604.499      -76.8134      -681.312      
60            60            -818.561      -79.1079      -897.669      
