Frame         Time          Elec          VdW           Total         
0             0             -548.683      -88.9931      -637.677      
1             1             -534.833      -97.134       -631.967      
2             2             -537.318      -89.535       -626.853      
3             3             -649.034      -87.8919      -736.926      
4             4             -455.187      -81.411       -536.598      
5             5             -469.377      -93.2105      -562.587      
6             6             -468.129      -91.3823      -559.512      
7             7             -484.85       -81.3823      -566.232      
8             8             -584.539      -85.1074      -669.646      
9             9             -601.38       -83.5765      -684.957      
10            10            -462.109      -82.3129      -544.422      
11            11            -657.029      -69.6994      -726.729      
12            12            -376.28       -80.7432      -457.024      
13            13            -551.884      -79.8783      -631.762      
14            14            -490.855      -74.0839      -564.939      
15            15            -220.953      -73.5477      -294.501      
16            16            -378.379      -82.892       -461.271      
17            17            -481.625      -71.6678      -553.293      
18            18            -849.63       -72.0387      -921.669      
19            19            -697.792      -71.9013      -769.693      
20            20            -631.728      -67.1174      -698.846      
21            21            -698.037      -63.7433      -761.781      
22            22            -562.105      -46.0329      -608.138      
23            23            -609.326      -64.1688      -673.495      
24            24            -632.489      -66.5048      -698.994      
25            25            -433.291      -47.878       -481.169      
26            26            -692.157      -59.6633      -751.82       
27            27            -856.887      -65.5077      -922.395      
28            28            -567.03       -60.9638      -627.994      
29            29            -628.316      -57.6078      -685.923      
30            30            -618.079      -62.5237      -680.603      
31            31            -816.081      -62.3323      -878.413      
32            32            -743.898      -46.7563      -790.654      
33            33            -718.551      -49.6964      -768.247      
34            34            -728.415      -56.4773      -784.893      
35            35            -934.794      -43.5051      -978.3        
36            36            -672.79       -43.3674      -716.157      
37            37            -802.428      -46.8074      -849.235      
38            38            -710.523      -58.4467      -768.97       
39            39            -828.502      -39.5005      -868.003      
40            40            -783.316      -52.7211      -836.037      
41            41            -1073.45      -43.5939      -1117.04      
42            42            -902.078      -53.8312      -955.909      
43            43            -887.327      -55.4775      -942.805      
44            44            -717.598      -38.487       -756.085      
45            45            -734.556      -43.3411      -777.897      
46            46            -744.905      -44.5652      -789.47       
47            47            -677.614      -47.6623      -725.277      
48            48            -527.951      -47.7624      -575.714      
49            49            -618.892      -48.1206      -667.012      
50            50            -504.234      -45.3718      -549.606      
51            51            -497.646      -39.7456      -537.391      
52            52            -634.808      -47.776       -682.584      
53            53            -558.157      -56.6611      -614.818      
54            54            -702.381      -52.6941      -755.075      
55            55            -600.418      -43.1854      -643.604      
56            56            -644.715      -49.3813      -694.097      
57            57            -676.799      -59.2236      -736.023      
58            58            -747.902      -50.3055      -798.208      
59            59            -654.222      -53.2331      -707.455      
60            60            -763.782      -40.9975      -804.779      
61            61            -585.7        -48.3995      -634.099      
62            62            -614.612      -61.812       -676.424      
63            63            -246.439      -48.1635      -294.602      
64            64            -490.539      -58.7198      -549.259      
65            65            -608.216      -66.4693      -674.685      
66            66            -695.976      -59.174       -755.15       
67            67            -558.727      -47.0585      -605.786      
68            68            -373.192      -51.3614      -424.554      
69            69            -738.347      -45.9154      -784.262      
70            70            -614.785      -50.8175      -665.603      
71            71            -775.995      -42.983       -818.978      
72            72            -503.626      -37.7597      -541.386      
73            73            -471.291      -56.6656      -527.957      
74            74            -667.278      -48.7857      -716.063      
75            75            -681.16       -52.4964      -733.657      
76            76            -675.068      -45.0961      -720.164      
77            77            -573.957      -54.602       -628.559      
78            78            -526.168      -52.9425      -579.11       
79            79            -515.538      -51.6791      -567.217      
80            80            -614.717      -64.7404      -679.457      
81            81            -757.557      -61.4863      -819.043      
82            82            -692.615      -61.5472      -754.163      
83            83            -721.791      -58.7408      -780.532      
84            84            -578.348      -65.7606      -644.108      
85            85            -673.018      -62.4726      -735.491      
86            86            -584.744      -60.4327      -645.177      
87            87            -576.274      -57.5129      -633.787      
88            88            -779.57       -49.8883      -829.458      
89            89            -594.815      -57.6836      -652.499      
90            90            -462.375      -55.8875      -518.262      
91            91            -462.503      -60.1697      -522.673      
92            92            -398.69       -57.0703      -455.761      
93            93            -610.21       -65.9858      -676.195      
94            94            -672.264      -65.7775      -738.042      
95            95            -691.198      -64.3736      -755.572      
96            96            -461.494      -57.5447      -519.039      
97            97            -625.159      -47.6467      -672.806      
98            98            -671.296      -49.3003      -720.596      
99            99            -675.685      -51.9572      -727.642      
100           100           -612.983      -53.5606      -666.543      
101           101           -616.575      -51.6785      -668.254      
102           102           -667.31       -45.8836      -713.194      
103           103           -650.644      -48.008       -698.652      
104           104           -711.313      -48.5219      -759.835      
105           105           -618.705      -51.7825      -670.487      
106           106           -468.688      -59.4635      -528.151      
107           107           -532.159      -47.1766      -579.335      
108           108           -879.48       -52.1821      -931.662      
109           109           -700.796      -50.1665      -750.963      
110           110           -722.445      -43.0625      -765.507      
111           111           -722.776      -57.1967      -779.972      
112           112           -736.376      -38.4554      -774.832      
113           113           -737.931      -51.3632      -789.294      
114           114           -877.136      -53.9376      -931.074      
115           115           -740.099      -50.6147      -790.714      
116           116           -664.642      -52.3973      -717.039      
117           117           -623.808      -59.9484      -683.756      
118           118           -637.749      -57.8904      -695.64       
119           119           -746.343      -54.4333      -800.776      
120           120           -647.53       -53.5785      -701.108      
121           121           -754.807      -58.3048      -813.112      
122           122           -694.914      -53.8126      -748.727      
123           123           -632.552      -62.4277      -694.98       
124           124           -511.552      -51.8553      -563.407      
125           125           -654.859      -53.3937      -708.253      
126           126           -833.53       -52.1529      -885.683      
127           127           -826.152      -60.13        -886.282      
128           128           -772.324      -42.6735      -814.997      
129           129           -600.946      -54.6965      -655.643      
130           130           -873.17       -45.0311      -918.201      
131           131           -1033.9       -46.4376      -1080.34      
132           132           -764.094      -53.4855      -817.58       
133           133           -991.23       -43.0626      -1034.29      
134           134           -868.975      -41.4997      -910.474      
135           135           -874.058      -51.3945      -925.452      
136           136           -854.805      -40.9854      -895.791      
137           137           -846.908      -52.0396      -898.947      
138           138           -772.686      -49.8992      -822.585      
139           139           -908.933      -51.0351      -959.968      
140           140           -1146.1       -45.0629      -1191.17      
141           141           -1148.45      -50.7299      -1199.18      
142           142           -992.587      -46.3488      -1038.94      
143           143           -829.608      -54.0459      -883.654      
144           144           -926.518      -29.9183      -956.436      
145           145           -932.817      -71.0078      -1003.82      
146           146           -883.02       -45.1269      -928.147      
147           147           -996.639      -40.6032      -1037.24      
148           148           -803.515      -47.1399      -850.654      
149           149           -1030.07      -54.9952      -1085.06      
150           150           -1102.58      -59.0368      -1161.62      
151           151           -709.325      -51.3547      -760.68       
152           152           -955.286      -36.702       -991.988      
153           153           -970.373      -41.7736      -1012.15      
154           154           -946.942      -49.4472      -996.39       
155           155           -987.592      -53.8698      -1041.46      
156           156           -936.801      -33.2048      -970.006      
157           157           -900.965      -45.4982      -946.463      
158           158           -1074.06      -31.8452      -1105.91      
159           159           -967.656      -55.3755      -1023.03      
160           160           -967.844      -33.5656      -1001.41      
161           161           -960.715      -40.3308      -1001.05      
162           162           -798.465      -53.3002      -851.765      
163           163           -1225.4       -44.862       -1270.26      
164           164           -791.105      -37.5055      -828.611      
165           165           -985.102      -54.4883      -1039.59      
166           166           -1002.03      -32.6839      -1034.72      
167           167           -680.36       -40.4882      -720.848      
168           168           -886.685      -43.3391      -930.024      
169           169           -942.084      -41.7496      -983.834      
170           170           -889.956      -55.8079      -945.764      
171           171           -852.014      -44.2698      -896.283      
172           172           -921.625      -55.2457      -976.871      
173           173           -811.424      -43.0703      -854.495      
174           174           -852.539      -38.1108      -890.65       
175           175           -641.713      -55.4516      -697.165      
176           176           -1020.9       -43.4311      -1064.33      
177           177           -841.373      -40.8182      -882.191      
178           178           -605.662      -40.8603      -646.522      
179           179           -990.378      -49.222       -1039.6       
180           180           -843.462      -45.4182      -888.881      
181           181           -730.761      -38.2864      -769.047      
182           182           -790.866      -29.7244      -820.59       
183           183           -894.129      -41.0933      -935.222      
184           184           -988.376      -43.5397      -1031.92      
185           185           -678.12       -35.2631      -713.384      
186           186           -755.028      -50.1425      -805.171      
187           187           -872.725      -47.4308      -920.156      
188           188           -771.082      -50.4896      -821.572      
189           189           -808.923      -49.8002      -858.724      
190           190           -855.18       -50.1414      -905.322      
191           191           -738.319      -52.3199      -790.639      
192           192           -729.082      -43.4528      -772.535      
193           193           -738.275      -55.3299      -793.605      
194           194           -795.471      -38.7895      -834.26       
195           195           -808.956      -39.6471      -848.603      
196           196           -910.116      -41.2776      -951.393      
197           197           -910.93       -37.7157      -948.646      
198           198           -953.415      -34.6904      -988.105      
199           199           -766.633      -45.9469      -812.58       
200           200           -895.381      -29.3462      -924.727      
201           201           -815.101      -38.0251      -853.126      
202           202           -894.002      -38.4994      -932.501      
203           203           -705.107      -48.3074      -753.414      
204           204           -616.91       -40.151       -657.061      
205           205           -912.47       -49.4219      -961.892      
206           206           -748.233      -37.0419      -785.275      
207           207           -714.662      -52.6654      -767.328      
208           208           -746.775      -42.9495      -789.725      
209           209           -905.906      -46.848       -952.754      
210           210           -942.135      -33.4491      -975.584      
211           211           -794.374      -40.8107      -835.185      
212           212           -1034.84      -37.2467      -1072.09      
213           213           -827.066      -38.4677      -865.534      
214           214           -812.887      -41.4022      -854.289      
215           215           -853.435      -40.696       -894.131      
216           216           -829.168      -47.4318      -876.6        
217           217           -677.36       -48.722       -726.082      
218           218           -730.866      -40.8814      -771.748      
219           219           -626.712      -48.7408      -675.453      
220           220           -610.386      -48.7566      -659.143      
221           221           -510.405      -46.2589      -556.664      
222           222           -527.539      -29.7892      -557.329      
223           223           -749.667      -55.0856      -804.752      
224           224           -620.123      -43.9961      -664.119      
225           225           -639.694      -44.2765      -683.971      
226           226           -722.703      -54.0304      -776.734      
227           227           -689.423      -45.0272      -734.45       
228           228           -725.639      -53.0301      -778.669      
229           229           -677.408      -51.8138      -729.222      
230           230           -818.461      -49.2792      -867.741      
231           231           -806.489      -45.2127      -851.702      
232           232           -699.842      -42.6365      -742.478      
233           233           -625.263      -38.6503      -663.913      
234           234           -686.091      -38.8996      -724.991      
235           235           -673.242      -39.0844      -712.326      
236           236           -553.643      -43.5394      -597.182      
237           237           -758.538      -31.0226      -789.561      
238           238           -722.288      -35.9793      -758.267      
239           239           -516.894      -41.5479      -558.442      
240           240           -509.555      -37.137       -546.692      
241           241           -587.817      -36.4493      -624.267      
242           242           -420.523      -25.0787      -445.602      
243           243           -678.651      -44.1748      -722.826      
244           244           -648.926      -30.9744      -679.9        
245           245           -647.263      -44.2362      -691.499      
246           246           -596.19       -37.8212      -634.011      
247           247           -566.731      -44.0275      -610.758      
248           248           -561.575      -37.8089      -599.384      
249           249           -535.956      -40.2201      -576.176      
250           250           -461.753      -32.6207      -494.373      
251           251           -433.983      -24.4609      -458.443      
252           252           -596.897      -35.1485      -632.046      
253           253           -284.932      -42.5974      -327.529      
254           254           -572.611      -37.7849      -610.396      
255           255           -448.159      -32.8435      -481.002      
256           256           -281.353      -44.4933      -325.847      
257           257           -411.132      -47.5163      -458.649      
258           258           -547.499      -53.237       -600.736      
259           259           -703.692      -47.6838      -751.376      
260           260           -798.715      -39.7967      -838.511      
261           261           -692.72       -47.183       -739.903      
262           262           -796.276      -40.2137      -836.49       
263           263           -749.729      -35.7738      -785.503      
264           264           -765.259      -44.9715      -810.231      
265           265           -920.159      -47.6917      -967.85       
266           266           -713.938      -52.2246      -766.163      
267           267           -748.885      -43.4638      -792.348      
268           268           -718.842      -47.6634      -766.505      
