Frame         Time          Elec          VdW           Total         
0             0             -1188.28      -96.1085      -1284.38      
1             1             -1282.53      -102.07       -1384.6       
2             2             -1295.54      -87.4651      -1383.01      
3             3             -1203.04      -94.5301      -1297.57      
4             4             -1214.86      -95.8926      -1310.76      
5             5             -1232.23      -89.1356      -1321.36      
6             6             -1172.92      -91.562       -1264.48      
7             7             -1334.04      -82.7831      -1416.82      
8             8             -1185.77      -92.1584      -1277.92      
9             9             -1224.15      -83.5697      -1307.72      
10            10            -1306.08      -81.2998      -1387.38      
11            11            -1211.73      -77.7999      -1289.53      
12            12            -1242.98      -77.0559      -1320.03      
13            13            -1300.8       -71.2398      -1372.04      
14            14            -1332.89      -65.685       -1398.58      
15            15            -1313.49      -79.3747      -1392.87      
16            16            -1228.14      -78.0457      -1306.18      
17            17            -1180.71      -82.6857      -1263.4       
18            18            -1339.16      -71.4257      -1410.58      
19            19            -1381.35      -76.1441      -1457.49      
20            20            -1380.36      -75.0216      -1455.38      
21            21            -1327.66      -84.8263      -1412.49      
22            22            -1404.73      -68.2824      -1473.01      
23            23            -1422.59      -76.2235      -1498.81      
24            24            -1386.75      -79.3629      -1466.11      
25            25            -1306.75      -77.5061      -1384.25      
26            26            -1303.41      -75.9947      -1379.41      
27            27            -1341.99      -72.6285      -1414.62      
28            28            -1393.65      -77.8267      -1471.48      
29            29            -1430.23      -68.8991      -1499.12      
30            30            -1248.9       -93.9964      -1342.9       
31            31            -1239.83      -85.4989      -1325.33      
32            32            -1207.39      -75.4153      -1282.81      
33            33            -1347.09      -83.9619      -1431.05      
34            34            -1318.84      -78.1312      -1396.98      
35            35            -1247.36      -87.1367      -1334.5       
36            36            -1287.6       -76.4709      -1364.07      
37            37            -1278.23      -79.6071      -1357.84      
38            38            -1231.55      -85.242       -1316.79      
39            39            -1351.93      -96.9218      -1448.85      
40            40            -1273         -89.0763      -1362.08      
41            41            -1436.52      -78.8187      -1515.34      
42            42            -1379.27      -71.6315      -1450.9       
