Frame         Time          Elec          VdW           Total         
0             0             -1076.66      -100.921      -1177.58      
1             1             -972.552      -108.112      -1080.66      
2             2             -1009.73      -101.515      -1111.25      
3             3             -954.597      -99.9234      -1054.52      
4             4             -961.886      -94.0821      -1055.97      
5             5             -984.955      -104.739      -1089.69      
6             6             -1004.79      -103.322      -1108.11      
7             7             -920.993      -93.2373      -1014.23      
8             8             -895.386      -96.5239      -991.91       
9             9             -994.157      -96.245       -1090.4       
10            10            -957.208      -94.1245      -1051.33      
11            11            -988.309      -81.0424      -1069.35      
12            12            -927.34       -93.3339      -1020.67      
13            13            -961.322      -91.57        -1052.89      
14            14            -979.645      -85.6025      -1065.25      
15            15            -940.907      -85.3523      -1026.26      
16            16            -920.339      -95.3704      -1015.71      
17            17            -1020.3       -82.5065      -1102.81      
18            18            -1093.08      -82.9636      -1176.04      
19            19            -1079.32      -81.8943      -1161.22      
20            20            -1095.14      -77.8524      -1172.99      
21            21            -1176.35      -74.4367      -1250.78      
22            22            -1171.56      -56.603       -1228.16      
23            23            -1086.09      -74.6637      -1160.75      
24            24            -1165.11      -77.0731      -1242.19      
25            25            -1104.4       -59.2634      -1163.67      
26            26            -1204.14      -70.9622      -1275.1       
27            27            -1168.03      -76.1676      -1244.2       
28            28            -1199.78      -71.5986      -1271.38      
29            29            -1169.02      -68.4451      -1237.46      
30            30            -1157.17      -72.9909      -1230.16      
31            31            -1081.31      -73.5114      -1154.83      
32            32            -1215.81      -58.0247      -1273.84      
33            33            -1209.7       -61.5745      -1271.27      
34            34            -1280.57      -67.2436      -1347.82      
35            35            -1359.26      -54.6013      -1413.86      
36            36            -1345.45      -53.9491      -1399.4       
37            37            -1392.87      -57.4793      -1450.35      
38            38            -1359.16      -69.8442      -1429         
39            39            -1423.83      -51.6933      -1475.53      
40            40            -1444.56      -64.2406      -1508.8       
41            41            -1419.55      -55.6007      -1475.15      
42            42            -1395.21      -64.2514      -1459.46      
43            43            -1290.74      -67.2869      -1358.03      
44            44            -1313.94      -50.2855      -1364.23      
45            45            -1199.24      -53.5629      -1252.8       
46            46            -1275.67      -56.7044      -1332.37      
47            47            -1174.48      -57.0493      -1231.53      
48            48            -1175.99      -56.7158      -1232.7       
49            49            -1200.63      -58.1989      -1258.83      
50            50            -1171.98      -55.1439      -1227.13      
51            51            -1109.2       -51.2156      -1160.41      
52            52            -1255.2       -57.8035      -1313.01      
53            53            -1139.41      -67.7409      -1207.15      
54            54            -1166         -63.6529      -1229.65      
55            55            -1195.84      -54.4587      -1250.3       
56            56            -1178.07      -60.1924      -1238.26      
57            57            -1211.65      -70.4031      -1282.05      
58            58            -1202.16      -61.1732      -1263.33      
59            59            -1061.71      -63.9816      -1125.69      
60            60            -1216.33      -52.1062      -1268.44      
61            61            -1178.66      -58.6939      -1237.36      
62            62            -1120.04      -72.6903      -1192.73      
63            63            -1075.96      -58.75        -1134.71      
64            64            -1079.58      -69.5009      -1149.08      
65            65            -1112.57      -78.2751      -1190.85      
66            66            -1085.67      -70.0182      -1155.68      
67            67            -1135.27      -59.0118      -1194.28      
68            68            -1168.34      -61.4889      -1229.83      
69            69            -1293.67      -56.5332      -1350.2       
70            70            -1223.25      -61.6787      -1284.93      
71            71            -1257.88      -53.8467      -1311.73      
72            72            -1219.27      -50.2428      -1269.51      
73            73            -1236.63      -66.5112      -1303.14      
74            74            -1284.04      -59.8235      -1343.87      
75            75            -1178.77      -63.9527      -1242.72      
76            76            -1314.45      -56.1358      -1370.59      
77            77            -1173.4       -65.8564      -1239.25      
78            78            -1212.37      -64.7218      -1277.09      
79            79            -1213.89      -63.9376      -1277.83      
80            80            -1238.21      -76.4995      -1314.71      
81            81            -1160.83      -73.6511      -1234.48      
82            82            -1224.56      -73.5619      -1298.12      
83            83            -1170.84      -69.5228      -1240.36      
84            84            -1051.99      -75.6997      -1127.69      
85            85            -1185.35      -72.9294      -1258.28      
86            86            -1205.09      -71.9175      -1277         
87            87            -1050.7       -68.9758      -1119.67      
88            88            -1123.62      -61.2134      -1184.83      
89            89            -1132.92      -68.1047      -1201.03      
90            90            -1070.94      -66.3793      -1137.32      
91            91            -1017.7       -71.3133      -1089.01      
92            92            -1086.26      -67.7978      -1154.06      
93            93            -1043.82      -76.8633      -1120.69      
94            94            -1050.57      -76.9021      -1127.47      
95            95            -1072.81      -75.5955      -1148.4       
96            96            -957.118      -68.6859      -1025.8       
97            97            -1027.84      -58.7289      -1086.57      
98            98            -1090.81      -60.1854      -1150.99      
99            99            -1027.73      -63.6079      -1091.34      
100           100           -1122.42      -64.4196      -1186.84      
101           101           -1188.39      -63.4881      -1251.87      
102           102           -1195.89      -57.9065      -1253.79      
103           103           -1310.93      -60.1676      -1371.1       
104           104           -1211.75      -60.1439      -1271.89      
105           105           -1209.4       -62.4346      -1271.83      
106           106           -1153.89      -71.6717      -1225.57      
107           107           -1217.23      -58.8056      -1276.03      
108           108           -1240.46      -64.3662      -1304.83      
109           109           -1232.93      -63.2418      -1296.17      
110           110           -1250.98      -55.0735      -1306.05      
111           111           -1348.3       -68.7017      -1417.01      
112           112           -1434.05      -49.7893      -1483.83      
113           113           -1398.09      -63.2692      -1461.36      
114           114           -1475.83      -65.9614      -1541.79      
115           115           -1452.58      -62.4195      -1515         
116           116           -1396.95      -65.0993      -1462.05      
117           117           -1464.29      -71.9696      -1536.26      
118           118           -1412.48      -70.272       -1482.75      
119           119           -1408.54      -66.2107      -1474.75      
120           120           -1426.5       -64.7807      -1491.28      
121           121           -1467.3       -70.262       -1537.56      
122           122           -1319.29      -65.2479      -1384.53      
123           123           -1339.76      -74.0687      -1413.83      
124           124           -1280.79      -63.98        -1344.77      
125           125           -1154.02      -63.9654      -1217.99      
126           126           -1265.07      -63.5618      -1328.63      
127           127           -1321.45      -71.5753      -1393.03      
128           128           -1363.18      -53.911       -1417.09      
129           129           -1276.01      -65.1805      -1341.19      
130           130           -1406.58      -56.7044      -1463.29      
131           131           -1403.6       -57.044       -1460.64      
132           132           -1543.64      -64.938       -1608.58      
133           133           -1517.12      -54.1707      -1571.29      
134           134           -1483.8       -52.5943      -1536.4       
135           135           -1566.7       -63.0382      -1629.74      
136           136           -1571.01      -52.1429      -1623.15      
137           137           -1557.92      -63.1677      -1621.09      
138           138           -1589.68      -61.5262      -1651.21      
139           139           -1557.86      -61.9616      -1619.82      
140           140           -1605.7       -56.2695      -1661.97      
141           141           -1599.34      -60.7552      -1660.1       
142           142           -1675.75      -57.7304      -1733.48      
143           143           -1546.7       -65.636       -1612.34      
144           144           -1602.15      -41.2388      -1643.39      
145           145           -1542.18      -83.0331      -1625.22      
146           146           -1590.88      -57.0654      -1647.94      
147           147           -1618.68      -51.4996      -1670.18      
148           148           -1564.96      -58.5546      -1623.52      
149           149           -1498.13      -65.2469      -1563.38      
150           150           -1497.71      -69.8196      -1567.53      
151           151           -1552.3       -62.4088      -1614.71      
152           152           -1673.86      -47.9278      -1721.79      
153           153           -1676.07      -53.3418      -1729.42      
154           154           -1602.42      -60.7571      -1663.18      
155           155           -1607.21      -65.7204      -1672.93      
156           156           -1611.68      -44.5467      -1656.23      
157           157           -1582.31      -56.4387      -1638.75      
158           158           -1606.17      -42.5992      -1648.77      
159           159           -1649.46      -65.8242      -1715.29      
160           160           -1692.92      -44.0541      -1736.97      
161           161           -1622.7       -51.3909      -1674.09      
162           162           -1634.72      -64.646       -1699.37      
163           163           -1644.84      -55.1334      -1699.98      
164           164           -1648.5       -48.3172      -1696.82      
165           165           -1532.21      -66.2618      -1598.48      
166           166           -1649.44      -43.8912      -1693.33      
167           167           -1578.12      -51.5568      -1629.68      
168           168           -1631.81      -53.9191      -1685.73      
169           169           -1518.48      -51.5491      -1570.03      
170           170           -1519.89      -66.3071      -1586.19      
171           171           -1575.37      -55.4458      -1630.81      
172           172           -1450.41      -65.6946      -1516.1       
173           173           -1559.84      -52.9568      -1612.8       
174           174           -1485.74      -47.6682      -1533.41      
175           175           -1496.96      -64.8148      -1561.77      
176           176           -1651.24      -52.1419      -1703.39      
177           177           -1642.75      -51.5984      -1694.34      
178           178           -1631.19      -51.8271      -1683.02      
179           179           -1543.96      -59.4136      -1603.38      
180           180           -1442.97      -56.1044      -1499.08      
181           181           -1522.19      -48.9015      -1571.09      
182           182           -1489.48      -39.96        -1529.44      
183           183           -1493.18      -52.414       -1545.6       
184           184           -1523.85      -55.2234      -1579.07      
185           185           -1474.04      -46.4667      -1520.51      
186           186           -1492.65      -61.1162      -1553.77      
187           187           -1551.73      -57.7         -1609.43      
188           188           -1522.2       -61.4348      -1583.63      
189           189           -1552.3       -61.984       -1614.29      
190           190           -1491.01      -60.3103      -1551.32      
191           191           -1394.97      -62.4335      -1457.4       
192           192           -1428.15      -53.2554      -1481.4       
193           193           -1482.5       -65.9214      -1548.42      
194           194           -1526.63      -48.9992      -1575.63      
195           195           -1462.93      -50.5637      -1513.5       
196           196           -1439.23      -51.2216      -1490.45      
197           197           -1389.89      -47.8037      -1437.69      
198           198           -1469.48      -44.8231      -1514.3       
199           199           -1368.96      -56.686       -1425.65      
200           200           -1400.7       -39.4352      -1440.14      
201           201           -1340.22      -48.3314      -1388.55      
202           202           -1376.39      -48.8864      -1425.28      
203           203           -1414.6       -58.3053      -1472.91      
204           204           -1364.22      -51.1539      -1415.37      
205           205           -1401.71      -60.2773      -1461.99      
206           206           -1387.83      -47.2383      -1435.07      
207           207           -1375.22      -63.3005      -1438.52      
208           208           -1426.85      -53.6912      -1480.54      
209           209           -1347.47      -58.1169      -1405.58      
210           210           -1378.62      -43.3437      -1421.96      
211           211           -1417.6       -52.2067      -1469.81      
212           212           -1408.1       -47.5097      -1455.61      
213           213           -1415.91      -49.2193      -1465.13      
214           214           -1399.28      -51.796       -1451.07      
215           215           -1486.08      -51.7084      -1537.79      
216           216           -1468.07      -58.7436      -1526.81      
217           217           -1315.46      -59.6407      -1375.1       
218           218           -1352.64      -51.6573      -1404.3       
