Frame,RMSD of the whole system (alignment on cores),RMSD of tubulin core A (alignement on tubulin core A),RMSD of tubulin core B (alignement on tubulin core B),RMSD of tubulin core C (alignement on tubulin core C),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on core A)","RMSD of CTT B (beta chain, alignment on core B)","RMSD of CTT C (beta chain, alignment on core C)",RMSD of R2 (alignment on R2)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.1676559469562102,0.8795526509167352,0.8634581351462266,0.8998653598234192,1.270593936350045,2.5421910713262745,3.4658802910268687,4.476101188561768,1.8732647347464055
2.0,1.4141260563485099,1.1097846016223558,1.0339571943482493,1.2910698947958288,1.522468758309284,3.6468069046528493,3.269318837435758,4.376847448239403,2.3165087810965677
3.0,1.484631839754081,0.953487940517691,0.9744291226881701,1.214185727143933,1.518809336448864,4.1471394106677435,6.391111807313857,4.785145806323066,2.2112786059876095
4.0,1.927307724131069,1.230583676699389,1.2441264185538967,1.6059307481761511,1.8250773319746931,4.923558505487615,7.328188422365423,7.297012050334756,2.5069715049761623
5.0,1.899003558858186,1.1660109788168307,1.2047914442522976,1.2287244502141652,1.6876205355161715,3.6182679079751936,7.258984177449584,9.247394940357983,1.873762836712646
6.0,2.1038240045177017,1.3900657129631668,1.3743553831451802,1.720319178647735,1.938648969212358,3.681139591169025,5.9432941040321285,9.802838061000692,2.196192553283353
7.0,2.3171651140525107,1.358924538445779,1.4363470090323234,1.4687770050569102,1.912974677338355,4.583236024401144,5.97012765961516,12.436022564239039,2.4284094473163096
8.0,2.5296558610765696,1.4627366895653167,1.3797452467952962,1.5974415542105567,1.9483261731813177,3.8463058957318528,6.5339220074962965,14.411951573218031,2.3728691604062875
9.0,2.738536402670287,1.5366985469539776,1.6214465477853193,1.7292787002032066,2.1181279449976795,4.788196871445661,5.840995821449544,15.522909646632533,2.6872626919499045
10.0,2.630302826021218,1.311730444834091,1.53405976016649,1.6044101861166549,2.014621106473152,6.311671143839328,5.796206980445228,14.658322436439663,2.6571767721021895
11.0,2.697406271946882,1.5524381737378183,1.7142177594437482,1.7143584708145305,2.154183042756031,5.950866459896786,5.4269479681894754,14.598588390854376,2.5586489342558116
12.0,2.4318522989274682,1.3765886842766466,1.5464995909418535,1.5113259677280297,2.0084427339846287,6.097289310162606,5.594965491112338,12.756346429373963,2.51221515230797
13.0,2.5348626315560905,1.5094823687365686,1.5098978557912257,1.391193706117123,1.973272884007436,6.213017524974322,5.761803169493178,13.90548777675529,2.134102091904499
14.0,2.7604152499757104,1.3434897056218025,1.4735661986887452,1.605354674594684,2.0317972277025387,5.798304054543521,6.2360412278633035,16.04796369558579,3.141037094343207
15.0,2.7739476642578866,1.4561494144995897,1.448622123786273,1.6521630181351312,2.040763282742447,5.319299373197145,6.188410301970659,16.307918185803604,2.2374412090294946
16.0,2.8067908274694715,1.365449348587706,1.548826221567359,1.5579193273933511,2.0308653888351786,5.929435272253642,7.199387887640108,16.3026933267047,2.454236604637667
17.0,3.021814388430286,1.4864627211375017,1.7981428916523223,1.8236210088313722,2.2405799674005027,5.742573254947633,8.144724209973665,17.157156101222473,2.590233693625387
18.0,2.956936059228554,1.2913008344316113,1.4289807473097063,1.6562095295575094,2.0648155496831935,5.938232222666864,9.184920897365831,17.410218920010465,2.402421947685322
19.0,2.770219725575996,1.454598124269808,1.4783971112908836,1.5599106287511375,2.0661269676627514,4.451295711304653,7.070657152032822,16.43095691666353,2.38409489218541
20.0,2.927793015496877,1.2709407655731193,1.520806577659985,1.6484143450496542,2.088689626807968,4.459851117558616,7.397620817966196,17.8610561415647,2.721383921410365
21.0,3.1918778057652597,1.4977145906185738,1.5907513986126713,1.622174163447595,2.1332844474668833,5.077553164901657,7.211657369646461,19.882127794003665,2.5961370234700643
22.0,3.3153703920698283,1.5970062426799296,1.5795195241525606,1.725973547693933,2.163274761097508,5.913091302826338,5.836154189379156,20.712519138807348,2.955249276004793
23.0,3.1436276836806596,1.3900761119370049,1.346967847242171,1.5402809176536363,2.014777508190738,5.421985320947315,6.385770398661345,20.101434679582212,2.4822467653702898
24.0,3.0030942739064312,1.5600189361451426,1.2103642080685424,1.5631213790866998,2.031224128553711,5.2601693095964315,5.235865168313826,18.95696379386728,2.427854161579232
25.0,3.094634921793353,1.6464546696255107,1.3427741076414796,1.497487817304204,2.016489488901229,5.700949291300805,6.055278760873937,19.372819617880065,2.2420189728071653
26.0,3.060281977753054,1.660516026507736,1.337635103209188,1.5133698828990878,2.0406451387641376,5.4064482445789634,5.858845866255029,19.107651429905403,2.438268864789771
27.0,2.986199909302801,1.2922357022452045,1.3602912576018127,1.2640928763518227,1.9380782559375698,5.582927329936636,5.167965904527692,19.31648867690579,2.239314712535907
28.0,2.913297531701051,1.1969115940648674,1.2145978665989414,1.430076767824356,1.946307035393866,5.7378186939165525,6.530328033794229,18.430486407873868,2.492945982153883
29.0,2.814607102123547,1.232690315299655,1.333923987674554,1.3528291639866512,1.9563635922465106,6.407116211796137,7.638480122749276,16.93132993736295,2.557768239665678
30.0,2.776770199269589,1.211748391610873,1.356515205886717,1.5079114352926604,2.0129412260675306,6.646407969703398,6.649641901548326,16.466664130548242,2.47910150607454
31.0,2.7667145263615667,1.5269194151664316,1.3905597624153663,1.3880583179637176,2.018401586803729,6.222544590889662,6.450873937445905,16.167923779636364,2.8751975102328466
32.0,2.860663934243348,1.5757634783240133,1.3862565512964604,1.5101397114231732,2.0697063836588674,5.635596513220354,6.046655825582508,17.131976805476633,2.7774681807326163
