Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
0.0,8.819148467573112e-08,6.061410769996107e-07,2.0404434281138008e-07,4.7213914059480395e-08,2.0108578073216316e-07,5.011575958135568e-07,2.9830162022339135e-07
1.0,1.369823506227287,1.3422710812249519,2.1147124262332504,0.9941239800235528,2.343284197945886,3.30677444935681,1.2061425072934875
2.0,1.519139600733832,1.4762200753951218,3.5736553357692236,1.1911277569911634,2.5578825071909295,3.8838333186019427,1.5915788532187423
3.0,1.7915432559771736,1.582108284778904,5.263672127346244,1.2717799220931572,3.886535848467869,5.340549060633796,1.6919658406716442
4.0,1.6634343735920445,1.6008275954658617,4.033115257192473,1.017028472303441,5.006043444318479,5.171966163573351,2.100078719212865
5.0,2.0356812296167233,1.676389992538318,4.01419713864971,1.5331071739879956,5.465966868905089,6.778689746838488,2.285642522924503
6.0,2.116043050403004,1.6133675468067745,3.9337460253959255,1.7467327740668244,5.255832862311367,7.475465014546126,2.285599616670301
7.0,2.1613902314049795,1.7244587598835115,5.264101227365898,2.3221582110310695,4.495343768704469,7.4481232281313305,1.725269491238158
8.0,2.4695792226724746,1.735572333418661,4.776675941297419,2.0222515330098574,4.407399085489329,8.42580333317064,2.055448581339448
9.0,2.473446464916104,1.7877971546882856,4.4701859224821945,2.2052716282002733,4.405615200106987,8.282787808257481,2.2274932942946757
10.0,2.5503374733415343,1.8864542955157226,4.1609247130089,2.48296102978028,4.605683987798788,7.938268443385881,2.395883113210718
11.0,2.3103750704363257,1.8115970768300869,4.450624396440332,2.71941214700778,4.274930840616203,7.2063380170680045,2.6661317345906728
12.0,2.6933389786657433,2.060440492387971,4.416012533762057,3.9768088222132056,4.41534359830924,8.18151446457334,2.6529716223807336
13.0,2.647974124961554,2.002429433694817,3.7250979062639864,4.581617778746605,4.294095145439627,8.67697938030238,2.351068451507137
14.0,2.597564860680232,2.134038818691173,4.390235717364066,4.7668613391019825,4.575008454426261,7.903921186115432,2.3104364105323985
15.0,2.553940564683124,2.147029604387859,4.034216075047336,4.4672947982031195,4.7390204893459416,7.724631807486695,3.058326917629016
16.0,2.6504387048756093,2.154185079915663,5.938723614184133,6.396025833983353,4.0886115677979475,8.184422032287406,3.21650398747388
17.0,2.7487631325225723,2.2486881981959503,5.114733421537696,5.410373471008132,3.7498613454430467,8.137012488872905,2.888440283897186
18.0,2.667952483393037,2.2896426307254982,5.177158518856607,4.9034482015185725,3.994869365038748,8.148361475051201,2.1751510123986493
19.0,2.7948647359415975,2.1809699787742076,4.360559489839881,5.266358105679838,5.339301998685292,9.35323276038425,2.400456485487749
20.0,2.7890910297113156,2.2196485473709195,5.193505034822688,5.222271227586755,5.320647119504972,9.272504736203741,2.6287597852445166
21.0,3.0135445889208357,2.3454989609155845,6.320669421155131,5.497574277318661,5.1925206861523,9.469475116380266,2.364814527235937
22.0,3.2091045676328345,2.4657194021343636,6.374399800167341,6.390756731719041,5.20466857201065,9.991551358050224,3.0054276460613996
23.0,3.3373287122802937,2.409772020083757,6.545589985814276,7.0001492897986015,5.421348158462974,10.841812047580705,3.1606533570006916
24.0,3.3983656455404967,2.3153165314783055,6.8610208712463665,6.120535155063605,5.204844109091867,11.284925388458724,3.2952360498191897
25.0,3.1282213258033433,2.2890254539926334,7.2794366111908735,6.206630400516733,5.403838868722281,11.118535737536554,3.020063709585292
26.0,3.5518498669651293,2.5124656749829177,7.250560123369857,7.422566373947764,6.07470163156527,12.470799064045314,3.220366010314818
27.0,3.6392023791502597,2.5462870191410407,6.158626874525967,8.1093969960971,5.688747353142352,13.498366472959473,2.986301218218522
28.0,3.87730258409729,2.697187490710936,5.788967097821796,7.633416815252764,6.9002750961599055,14.009121844941621,2.6245379102441455
29.0,3.998315879876872,2.7258554077437034,5.351338924958677,6.976909161241723,7.630417108695857,13.49264499047536,3.452446831455153
30.0,4.24061899312632,2.899840987493263,6.16706821406375,6.698511722908663,6.869218035870813,12.871956714153717,3.486280343861094
31.0,3.950789341595581,2.633816345451714,5.806724353955887,7.217896873197513,6.452552431372432,12.20315422531248,3.065376649195195
32.0,3.684161134582018,2.4945263478287374,6.456729222883134,7.317332597940812,4.955874890655531,10.616270413575398,4.278101623572937
33.0,3.796882710780602,2.547889835770918,7.1504251496739615,7.790447571199063,6.17425780140865,11.586616057681821,3.233783786324597
34.0,3.9192860400500535,2.584852165074204,7.425053737653858,7.342872017572155,5.340364928602032,11.4288542739883,3.7320115506215226
35.0,4.13019461903328,2.7045735977905276,7.330934079691185,8.959664156320429,5.33820488634093,11.464873630954074,3.1686236757669533
36.0,4.174713655737133,2.697342958528849,8.089333588203267,8.1546784527775,5.347488495350767,11.485878836161811,3.1843408917673455
37.0,4.223107998807358,2.79772202287501,6.6188838758200355,8.207298658719143,5.743239351654192,11.291920980931792,3.505927562394171
38.0,3.9882794982336596,2.7859375680353886,6.030042578991108,7.203617968554347,6.666891481676598,10.452103863558795,3.3199467585081766
39.0,3.972414608461153,2.6673290513261176,6.350758782659236,7.769868133291046,6.5181594172235435,10.677385188468513,2.868482106476762
40.0,4.146274767998704,2.705819614116974,5.871168150814493,7.120619559623035,7.4564644527266575,11.148955610005384,2.833756265333762
41.0,4.43789464268072,2.6640276229889297,5.9387949489575265,7.914772258547341,8.03867207850922,11.612465263115011,3.2135923014022283
42.0,4.34029391637908,2.681803673592429,6.397066310970135,6.957691211312886,8.268324813568096,11.705188588257185,3.3710746447132416
43.0,4.453809568147511,2.905264480523222,5.572190563745578,6.262373432551416,8.844916415206805,12.38037258365462,3.0923611073484687
44.0,4.544609051033892,2.802730554656009,5.687403264586403,6.712073961004189,9.203809674773348,13.047904240777722,3.2472918669279642
45.0,4.742051326561983,2.874493745257089,5.800495521799964,7.327220207259615,7.881733020996149,12.832376203518228,3.131327451623877
46.0,5.083408153763741,3.06187663249963,5.624127071110118,6.596071753656925,8.275571391689795,13.384878438589162,2.781809057915572
47.0,5.119623983248878,3.2214662021378495,5.556254243974041,6.98946328381634,8.337621737708792,13.72569660816526,2.429388517266866
48.0,5.032078476591328,2.946671440868972,5.629016695165633,7.841004096244681,7.652568106505247,13.992402738721992,2.5567368641464316
49.0,5.2903866598926,3.1359381616607225,5.579104916803436,7.852358224559332,7.967523930916647,13.478208799562331,2.537990527632075
50.0,5.156523926148276,2.889137214761977,5.206418198628471,7.105576565926559,8.884233886641331,13.583746110996625,2.341254745419232
51.0,5.086987773443077,2.905903619447937,5.585507852237363,8.09858772438769,8.400536653871198,13.723516862041029,2.3564261387687524
52.0,5.310658956969099,3.038909023443057,6.640535657893477,7.88706337302248,8.926905580158035,14.04189079721037,2.7708305360518604
53.0,5.347038999642271,2.8486715240887786,6.010331308656784,7.728543104342793,8.886342688196192,14.179538413797253,2.6899935396189263
54.0,5.499874692024804,3.0163301909135174,7.157136124618612,7.956270384620734,8.227331142592151,14.372220994191537,2.562964982057769
55.0,5.59340560435273,2.992448883994228,7.644710747914877,8.299940399510831,7.090358421429852,14.595769804937015,2.5731244612276547
56.0,5.467232029970634,2.83431570233403,7.757590295865843,7.426761783039039,6.950466529993593,13.60526337919336,3.3038428690634136
57.0,5.1665526010618485,2.674336144592085,7.283731240698677,7.855415174151185,6.742138283976213,13.600423484099759,2.263333877364425
58.0,5.089182472158584,2.6389385502320324,7.768089111797809,7.666217142628061,7.082266742463669,13.503033599958943,2.2049470907737683
59.0,5.361877256962661,2.802146863557848,7.491821111844932,7.6596227509305255,6.952361390243445,14.201037098010866,2.2618106173442736
60.0,5.346795744883557,2.7244422542437254,8.009997375941168,7.0119650877064545,7.3138391102390745,13.603803369035374,2.7591689788531775
61.0,5.332048964010429,2.6029720117197814,8.098693203370319,8.085102151017956,8.641773469475321,14.701741029608854,2.2850135292934057
62.0,5.456753974513275,2.7709585290793766,8.0242421135703,8.836249376170452,8.12522148188697,15.825437516402088,2.958347805442044
63.0,5.363177398967077,2.597310251772134,7.714958913972235,8.42702487295915,8.735610557693319,15.594057816690567,2.8323021954469203
64.0,5.455679155052838,2.653195787139397,7.876423056253989,8.25057759570575,7.908083530056058,15.47132095319548,2.897255402434261
65.0,5.7818952311067635,2.732299574246642,7.528399879253174,8.225041200967016,8.511425342980045,16.43081038121428,2.675176394071073
66.0,5.608253214793706,2.55821400294193,8.270532473439758,7.395278702708812,7.127947758790588,15.998136626991029,2.455323342390449
67.0,5.571500388541057,2.670131680773598,6.865014550239004,7.531388271236651,7.231539881571551,16.290588699597087,2.390584152875028
68.0,5.422575816152641,2.7109060592030962,6.815353187346379,7.935562232999697,8.073888909860123,15.743096036460152,2.8204390503191434
69.0,5.472015549075616,2.905322755892013,7.069908829719473,8.154170858659118,8.011428813245866,16.32837425739087,2.796908834299051
70.0,5.451350371634586,2.9690243018638425,7.134764750634926,8.69653342716724,8.063256982215778,16.470675233236562,2.653649761206212
71.0,5.586494275689522,3.0369544465307388,7.7163691921899735,7.993014208350646,7.462746207814971,16.955506447365543,2.369634096035604
72.0,5.571255400451884,3.068053956741325,7.162024897092234,7.139285280687719,8.004156891085362,16.804750269249375,2.405113822476341
73.0,5.599962309229492,3.046620543499049,7.8853374954068345,7.8454268021705955,7.552508495362501,16.82077785960119,2.7344622198540245
74.0,5.496275054328709,2.8525523733885128,7.970953570857185,7.68387266936023,8.101883393539762,16.34708086958911,2.0648380362375307
75.0,5.320002133387385,2.721034089349907,8.296242622808759,6.874381588274713,7.232966036152468,16.067115393479703,2.3563232114208708
76.0,5.701166504931534,3.004573150309059,8.412827120062051,7.08519878778296,7.653644213892909,16.53260574184625,2.2485218194742527
77.0,5.732769790966314,2.8296498614699703,8.432435641383652,7.007202799232349,8.20557291986993,17.182146430807357,2.5640904988106143
78.0,5.633909750908907,2.858527279628265,8.233147548109045,7.431285546321964,7.927298913443923,17.058520916144612,2.5970326236436714
79.0,5.652092020266478,2.836126542461637,8.835716146059475,8.11642091297876,6.930627826590403,16.727540436828164,2.9594148166271013
80.0,5.549510338374706,2.829144331114626,8.197506082250102,8.011893124972381,7.899062127922786,16.901240955461635,2.7644012174265384
81.0,5.638407298718143,3.0423810640354483,7.82258210123505,8.103340327848644,7.672446720447121,16.480170917198613,2.596740762142396
82.0,5.643200484968731,3.144541463483331,8.656654254430514,7.6173801271558,7.274939055647255,15.567357778171123,2.7598387371306567
83.0,5.630860159816973,3.2208863555476803,7.434588000311451,8.226571095800342,6.5343755771561245,15.268386077855062,2.446744296060511
84.0,5.530742142092211,2.9400242741466323,8.296348732053033,7.980403472257297,6.129540601951778,15.029369594427678,2.691625423208729
85.0,5.7846302806891545,3.10247805092306,8.819124586645307,8.591760298823989,7.046451877411601,15.813558272283343,3.043443631827785
86.0,5.692129964760394,2.8616403689904084,9.382712453095666,8.376143063605399,8.023662096198876,16.30462066494018,2.87353971379725
87.0,5.6840216623585444,2.9212012462421675,9.263339616190942,7.82055512118967,8.475502167296767,16.204857220670682,2.874783295622811
88.0,5.716630847092607,3.0094894235991263,8.571808031494868,8.223212256165294,7.879005422235009,17.308356411512136,2.899204414118978
89.0,5.802966031065349,3.1433988967437316,8.834582277144019,7.078985218336136,9.26919561450142,17.3338034577856,3.0434655039990433
90.0,5.80961869206143,3.320522655365874,8.456425432291647,6.992665605612199,8.97063346120303,16.97146163502498,3.534250570458176
91.0,5.92172564797785,3.1866612881980005,9.066604372882725,7.380682670999193,9.317294894446366,17.703488992696464,3.6012238451752325
92.0,5.874377451667643,3.017164172175768,8.91318541693032,7.251207452957583,8.831149633187275,17.952879743942486,3.6080426195356523
93.0,6.021671551003133,2.9567340616472153,8.527108381948883,6.706607461827308,9.145329099025723,19.007617527377114,3.3092381374910356
94.0,6.134232632965232,2.9520763323206802,8.01753213104393,7.638617669355397,9.132600829751912,19.95806946998079,3.5750656817812576
95.0,6.184007310609373,2.762477275994232,8.376818814935334,8.467398207427118,8.797898857383363,20.796430174649025,2.797130058711767
96.0,5.941390137073955,2.7358205855386912,8.259663189225028,7.531496687405143,9.407349283231044,21.425264073343136,3.1461698000193903
97.0,5.76358304124915,3.0567199308641197,8.587679796545613,7.64448408641413,9.823738561188549,19.87985827867489,3.2753706240493736
98.0,5.826190357467057,2.905753726882062,8.679360691292185,7.478323461016561,9.5230372854785,19.857193457247394,3.338388659385346
99.0,5.922399983986858,3.0664822095973405,9.308834680132517,7.735076606317421,9.432378135781692,19.06863571094127,3.4910357057966848
100.0,5.922247046319894,3.0916726458923534,9.106054363792536,6.234433678263977,8.618338817027176,17.80835645666648,3.7369905122954274
101.0,5.854268089293253,3.124113993389479,8.829800663709307,6.441889822061673,8.91550890627495,17.73962466369829,3.5719961747600566
102.0,5.763681901010756,3.1883469800784114,9.028803943458197,7.786256739645102,8.945717701707478,17.30542931846414,3.5410432361004807
103.0,5.573897626549326,2.991804989304071,9.48256141176769,7.19676500054208,8.17717463301472,17.08842052907763,3.8612197075738384
104.0,5.641243108704482,2.9572967206151004,8.689176698249954,7.644814887671987,8.064511611240931,18.188070009889795,2.9690990645905058
105.0,5.589961863418506,2.8405992479277185,8.652548222664427,8.052144213804523,7.308994236808732,17.489215989844705,3.249770888284256
106.0,5.651311889059028,2.715432762934545,8.410750347801832,7.84246018884488,7.518064541071824,17.83318332364059,3.206731989499267
107.0,5.9355578247862635,2.744350692167804,9.005134842152158,8.272980050034736,8.219310333824023,19.087185697923047,3.9805695990222674
108.0,5.780982866365759,2.7595584524611736,9.229947808519038,8.32866791220719,7.569218250714479,18.21564440737517,3.4651686269792377
109.0,5.789556772178856,2.9064360527919906,8.541446357549505,7.648521913011945,7.283376630231319,17.921243815898794,3.4019629840523775
110.0,5.603490747766432,3.037569717590357,7.99331886232215,7.0963282700689465,6.835665556872361,16.691131092121683,3.007367946029734
111.0,5.517893124898156,2.7484027130863757,8.160795021983361,7.094784639058376,7.944107282715824,17.56902213742665,3.3770509708016125
112.0,5.300575848180545,2.8294297243678406,7.574992000158966,7.5890687663802385,7.206694218919417,16.679149966284655,2.8270524056839164
113.0,5.425724463402628,2.805639727180736,6.873783005334066,7.630893720901451,7.232547943866253,17.444733137413557,2.9109358860803902
114.0,5.0103660988020735,2.6065897284557806,7.11626183823248,7.18103732208846,7.86167048345738,16.611381629296194,3.4945883538982274
115.0,5.178658676406335,2.7456642228094963,7.521317246333727,6.531289487963906,8.162930791283248,17.453728355324024,3.2048292020673834
116.0,5.154178536698856,2.7496189074380095,7.121135769227569,6.1165409622003,8.231814339906565,18.08236886390822,3.83428724121503
117.0,5.21222144359431,2.840739727509859,6.427906403578832,6.338181006928121,9.023617828202545,17.977933712042468,4.0407586378584135
118.0,5.0796415231425724,2.6785354527079512,6.481348674915369,6.314202174742703,8.999147845276191,18.03659517560455,3.14973376641958
119.0,5.211919110181099,2.6777828854636994,6.363823226530987,6.570075908665468,8.695628115270779,18.51831230712464,3.3175770285691004
120.0,5.295319880216501,2.8119882944995505,6.076643827268411,6.727231221885747,8.812466655252418,17.905832062402876,3.737027212773034
121.0,4.999318906672918,2.5135148640038576,5.3240776147001645,6.697660925197778,9.005645225035394,18.08232703223621,3.375333725250815
122.0,5.256127506831998,2.5279832568874863,5.4965254579048315,5.709404036449158,8.941590873845007,19.060066448304326,3.0869783201319203
123.0,5.235499053082079,2.6277030727222077,5.253861187941033,5.16107438708223,9.345121644004179,18.172426666203524,3.4848579866818366
124.0,5.178683981321968,2.5378183521265676,5.301401328759216,6.436846744112728,9.274968930136016,18.395224787367397,3.0758439830858664
125.0,5.309880317001638,2.4847697735463385,5.219871441711775,6.287413440942508,9.991590907220063,19.11018122520149,3.4251620571772374
