Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
0.0,1.229797493134923e-07,5.887876866111224e-07,2.2707237063456646e-07,3.338527879781746e-08,1.5996527039919248e-07,5.19205388850415e-07,-1.0
1.0,1.1996753503185946,1.378217988809013,2.463321514313067,0.9841835838934664,1.8241817642911091,2.8482838941045694,-1.0
2.0,1.6898653138301878,1.6161012432942339,3.0790368021194694,1.6952958106454274,3.259726241934061,4.871042748856557,-1.0
3.0,1.9160323976002738,1.753306149297382,3.2463678782006293,2.1088923621635196,3.523558871511935,5.040738098489901,-1.0
4.0,2.2205192457028473,1.9442147262203786,3.089575056662577,2.1998797697308765,3.6569613916024704,5.635512406401795,-1.0
5.0,1.9425471481749577,1.7299325362225553,3.4148411369903466,2.402416390899842,4.324766211977953,6.131916677812728,-1.0
6.0,2.062068252854541,1.8490510289033157,3.1748987543543334,2.6143035124120373,5.139680533373627,6.183566301662041,-1.0
7.0,2.084054112143692,2.0492193953538815,3.0330080023590567,2.2727842289579954,4.314600598728663,5.387255447890606,-1.0
8.0,2.181252691503904,1.9706069564817315,3.5413491582588286,1.6472423826334557,4.8430915661859695,5.726891540721956,-1.0
9.0,2.2436722672153793,2.045391201932337,3.3506217138597303,2.54806041213987,5.503109449138336,6.221170798207898,-1.0
10.0,2.204627551088489,1.967088496337345,3.653150837429556,3.309153292532573,5.655053953618341,6.961864616863007,-1.0
11.0,2.2410388246078328,1.9832219020038127,3.3732284467075218,3.6746922476770054,5.623389085323746,7.143981276825886,-1.0
12.0,2.3976280124627873,2.2302885495372125,3.270222572404876,3.9032432148119875,4.373226789630801,6.91097670064958,-1.0
13.0,2.6122587040134033,2.3765688097267126,3.9262325576575887,4.328390496798934,5.296342809602763,7.63008639906581,-1.0
14.0,2.5009825182979064,2.2592852502908243,4.403599381955186,3.053642073999019,5.4338908820868115,8.075780262237366,-1.0
15.0,2.586265270108723,2.262161028037331,4.383104141942716,2.988215399869809,6.042215506462118,8.639475018297091,-1.0
16.0,2.737944130772395,2.1553840742007413,5.8588043465111195,3.3253501179202125,6.487227191999565,9.65080166142213,-1.0
17.0,2.8429836383684823,2.3459971119930705,5.662540051723444,2.676465460723755,5.305445358907473,9.373131036446944,-1.0
18.0,2.882000763755088,2.1522139695251483,7.088574827301429,2.8151026820626392,5.240702550175969,10.786799440923616,-1.0
19.0,3.149824209207008,2.223054744317972,8.573944774576958,2.6903202812089293,5.13478674203033,11.160233305784923,-1.0
20.0,3.0815107705035163,2.1426433197440393,8.209750372905873,2.3398720876554724,5.359039474991731,11.786552647519603,-1.0
21.0,3.0446680741176313,2.209414979264764,7.44937279030984,1.9736327705940298,5.837589729088415,11.455116806579094,-1.0
22.0,3.0987516498346976,2.1385055080804842,6.790696902080954,2.402988036169026,6.11231079997989,11.92378506824869,-1.0
23.0,3.1682465913963314,2.0753975564769704,6.3136351428189785,2.279018285971034,5.116401918409196,12.591960605355744,-1.0
24.0,3.2762292841293803,2.141452578944352,6.708812894017682,3.1514965323116324,5.354842071131958,12.551347324123613,-1.0
25.0,3.3853320153517648,2.276997861702833,7.138140247939928,3.145878841427018,4.354992926837543,11.950867440695395,-1.0
26.0,3.382821289645924,2.179846215118594,6.9839011205747825,3.5994233509098272,4.22836635193513,12.532812391763954,-1.0
27.0,3.3882273312575535,2.239672025813196,6.8129747989995035,3.046940651141727,4.652751103150132,12.129702394893137,-1.0
28.0,3.140143905284303,2.1027534446195264,6.3116253077182005,3.4149498748166067,4.235897494275454,11.702739479285523,-1.0
29.0,3.1840589335683926,2.267857302918499,6.641956298468085,2.1952167403897076,3.798477855578654,11.426209850639221,-1.0
30.0,3.176988288953876,2.1615278051790487,6.972421767207207,2.445924630077551,4.448828206075228,10.80545176030232,-1.0
31.0,3.034682184703314,2.050836209472432,6.906563966911091,3.3805346976104813,5.193680144540894,10.585991733051081,-1.0
32.0,2.9766337289435203,2.077196117351132,6.545265746748539,3.7887882012999934,5.309841644942176,10.341972545204015,-1.0
33.0,2.9796792494930977,2.140711774529127,6.818296951897584,4.243647430447645,5.057539033143729,10.140426676894403,-1.0
34.0,3.101757371253929,2.1349472892393484,6.841804240852002,3.0239437243461564,5.203993846474859,10.613421317708623,-1.0
