Frame,RMSD of the whole system (alignment on cores),RMSD of tubulin core A (alignement on tubulin core A),RMSD of tubulin core B (alignement on tubulin core B),RMSD of tubulin core C (alignement on tubulin core C),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on core A)","RMSD of CTT B (beta chain, alignment on core B)","RMSD of CTT C (beta chain, alignment on core C)",RMSD of R2 (alignment on R2)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
1.0,1.1783652007893957,0.9770993093971309,1.0063721207024663,1.026429815951514,1.3450597956449826,4.233055250984033,2.226544161222637,1.9136751597268535,-1.0
2.0,1.3771421846072014,1.0202281882736282,1.1262878322113594,1.2555040965341335,1.5528635293693136,4.201173002821773,4.566221854842623,2.93959100266277,-1.0
3.0,1.5861507294526997,1.4348687362451427,1.1601198068051846,1.2140754299810474,1.6161287164444673,5.8917928301539,4.28814255376764,3.20323422238056,-1.0
4.0,1.6328645575272858,1.3296312700349162,1.2092575610519527,1.0497409586283832,1.6260325134068343,5.636727680650922,6.5550872248012535,4.277653338375798,-1.0
5.0,1.8336887725429654,1.1915208171781981,1.2374920434034133,1.242142435256693,1.6910117557373026,6.452108031460364,7.683255102047147,6.038123920457243,-1.0
6.0,2.156593728297755,1.8925576890915066,1.4522636563417552,1.6661309659770858,2.004088442880281,6.889432638497925,8.496404727746446,5.026274705384653,-1.0
7.0,1.7345083215441048,1.3706393924449283,1.1272233600407842,1.2537630986183852,1.7224948261343103,5.832258314140717,6.857611707652664,5.143487255397578,-1.0
8.0,1.876785536635695,1.2086585885276717,1.2341099290731992,1.2966417935322248,1.7855719545814477,5.5526897201052074,7.3969834033261375,7.456520163251502,-1.0
9.0,1.9380850108981944,1.4886398985561138,1.2219938467052691,1.4698263037653778,1.874526818590165,5.700183012578614,9.336686913034034,5.312177974929861,-1.0
10.0,2.20451881146165,1.611618233945114,1.260249412415635,1.641485626614054,1.959148324354417,7.435511351668503,10.674019777089162,5.969779033052763,-1.0
11.0,2.1894241205666845,1.488752241168022,1.1820835984749674,1.5274097334461596,1.9205244894975722,6.3931454275777115,10.97635206749855,7.720462576435411,-1.0
12.0,2.218797614464646,1.3829952883960428,1.2269404766164653,1.5167502616287973,1.906113157188818,6.82356575756669,10.296613728475007,8.548557041017158,-1.0
13.0,2.2892925303002025,1.575474437313699,1.1527556720168066,1.5239009171370914,1.9359576000095389,7.531777792855183,9.182655419309988,9.234690606915796,-1.0
14.0,2.4067399527548887,1.5587224306139458,1.286163842844563,1.492364260976042,1.940204602184765,9.09083748772164,10.013429085778657,8.87728919093481,-1.0
15.0,2.4171109806484714,1.3863596147513024,1.2239241997511106,1.5615519766446786,1.930377805291218,10.319374230224051,9.594355996223522,8.391185339031551,-1.0
16.0,2.441550001918084,1.4326786277225207,1.2137123301814658,1.501220124100795,1.9337878212365003,10.3274860830977,8.301718167587326,9.531289305648231,-1.0
