Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
0.0,1.6007647272632464e-07,6.415638767925262e-07,1.2180448462825252e-07,4.9421560620597e-08,1.2198728526358516e-07,5.288678755007024e-07,2.629225837356155e-07
1.0,0.9986601579799558,1.189732529309859,1.494223362844613,0.7359041282122685,2.2470315884189294,2.7209767932287265,1.2784562655061857
2.0,1.267631632698056,1.4003195178351289,2.095821764255618,1.2179030592762718,3.1630100585118712,3.6092629982788984,1.3365214833771206
3.0,1.3105968982895526,1.4437589479494242,1.4598500454588583,0.8597529913313422,2.962373718115592,3.8699326755553862,1.475053266013022
4.0,1.4150091803563152,1.5752206434774827,2.139599295232708,0.9023306111952001,3.092169611181334,3.987927981579586,1.6650020389290139
5.0,1.6012269924900495,1.5659731854937886,3.691507016159823,0.9145017122929097,3.3392456690121604,4.54988986330784,1.9599393433178982
6.0,1.620279053707498,1.6617006662465656,3.650735135770396,1.4041346595268147,2.467142559357194,4.323606071583038,1.7791238425176195
7.0,1.7213355721078876,1.746129862696985,3.315170110540382,1.8256837928403566,2.1650146091125326,4.357486313442279,1.7619826461594879
8.0,1.80246384812428,1.813146731528276,3.529915041858736,1.997511884483089,2.579290236783027,4.907927658755718,2.2257479720233064
9.0,1.8491942203176401,1.7947098416915797,3.7895790490518246,2.1795080732652483,2.756722397539483,5.255797121796649,2.536937860007108
10.0,2.1699875704447913,1.763197270530044,5.429205548881728,1.8893555824589279,3.807182812437549,5.537623896823357,2.3862069929857004
11.0,2.0179182474583133,1.7922720318178607,4.220020506220362,2.1449162302490308,3.361810936106719,5.941171079144428,3.125588609788609
12.0,2.2333538718062576,1.8205013830737857,5.29133736756024,2.9536590671741143,3.014316851231562,6.667167018062117,3.376081304358142
13.0,2.5491217014793173,1.8480728520673642,6.423189483544705,2.959051620701429,4.7564166067883455,7.438955499363583,3.751640510853247
14.0,2.3271384867656093,1.7824349794694363,6.261871268219472,2.672221090006691,3.8633325204511277,7.120989913657381,3.187450162416606
15.0,2.612874801108729,1.9095226225288464,7.441708349646574,2.4111387610801818,3.5177130186628656,7.853457862146568,3.7179684533564337
16.0,2.6825504597183576,1.8399247123877012,8.130373459296504,2.984042718506753,3.5174191224600833,9.257812263622535,3.635690416282745
17.0,2.8708941206474012,1.806192925433148,9.49397487327144,2.8319164786564373,4.725826731715301,9.890011971687816,3.401705007170752
18.0,2.957281756018018,1.9027955620458603,10.704851892911366,3.4923795759600895,4.503476943725607,10.598575732846358,2.7853020271680107
19.0,2.9839693387569537,1.9827558051777383,10.273671014459259,3.3979630211792435,4.972358229642055,10.508001431387973,2.7545947825085326
20.0,2.9984120887046712,1.8820055261995827,11.096320544808863,3.3985343651613826,4.95065322420513,11.020076012019752,2.785155988617433
21.0,3.0320490067181964,1.8337310052075655,11.529083327686571,3.6330139665067755,6.082046650691386,11.686382858030417,2.5036928126309834
22.0,3.0475548301018,1.86296842623357,10.842422429133586,3.572722316814115,6.165708624143888,12.526429180957827,1.9101081594849185
23.0,2.972108009353261,1.8206183391579787,11.356725501915717,4.6052331582857065,5.9226605638880745,12.350978325420797,1.8423743048250165
24.0,3.0572802759471247,1.887089327673298,11.467408469323255,3.7216428537837727,6.1738773127426185,11.87129515397309,2.192934720766771
25.0,2.978348548701984,1.9182642872582099,11.238377136843077,3.791052549516468,4.987027401979784,11.482774542184233,2.1162099291990413
26.0,3.1519363869777877,1.9504578577922955,11.514798755588666,3.839516126164965,5.594369047083241,11.625487912519088,2.148285840970025
27.0,3.1407332288090224,1.90347606319375,11.202056066464774,5.279016044640287,4.700670154281499,11.771184778849454,2.0038225172408275
28.0,3.217650136214805,1.969696314708403,11.176717878205393,4.634665414144497,4.411163601056995,12.007384782604547,1.7132357637996196
29.0,3.0922982825693253,1.958295366770716,11.280784221713922,4.609276210806854,5.1138641279708885,10.868010143990421,1.8177214953905914
30.0,3.1627373701047308,1.9817968091768794,11.107000244556021,4.838427213778897,5.079034178766282,11.55608064974807,2.285643544736269
31.0,3.16231099858987,1.9434336056851116,10.81212992386257,5.6084234441655765,5.637502563070395,12.076035998179911,1.9461688022191446
32.0,3.2931856496973784,1.9516220787568967,11.287509403029446,5.360371758134202,6.357750980618607,11.270611483680694,2.2308606155517468
33.0,3.3551310498357467,2.101538174651371,11.248144826014938,5.552130663162752,6.892162214682577,11.268359652766835,2.517745344406365
