Frame,RMSD of the whole system (alignment on cores),RMSD of tubulin core A (alignement on tubulin core A),RMSD of tubulin core B (alignement on tubulin core B),RMSD of tubulin core C (alignement on tubulin core C),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on core A)","RMSD of CTT B (beta chain, alignment on core B)","RMSD of CTT C (beta chain, alignment on core C)",RMSD of R2 (alignment on R2)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.1915863986132564,0.9805939810632112,0.9864556591267911,1.218966672710684,1.3844086719749917,2.5981517193047474,2.20108018243027,3.46410046122051,1.6712740774463786
2.0,1.3887234840678906,0.9952374156204872,1.1722072499777063,1.1566006963331128,1.4905536214255566,3.555995701805914,4.937719915926661,4.731445148615375,1.9919298632355957
3.0,1.7829815196591074,1.2340966339096253,1.2757226293405475,1.1776899262633325,1.5964083425167843,5.676635698388085,4.892539734468512,8.768243499893865,2.3287309895640926
4.0,1.862821098437977,1.2283754431650031,1.4035704348065086,1.4809652899485697,1.7931600587510932,4.673193131555375,4.981344980900026,8.940494568741615,2.5496132196046717
5.0,1.8621512517144232,1.1752369972282468,1.5835804068665618,1.4072540133024614,1.832861929731111,5.299421723772976,5.438498711279904,8.222030716131156,2.181917133346785
6.0,1.986548923635037,1.4653107040258821,1.5227579119725876,1.6178901995535175,1.9264559817500542,6.051234418890149,6.912323734326815,7.095532232835925,2.6552737276722724
7.0,2.2086844530518768,1.4568899341866188,1.7002090732443527,1.821543112075886,2.1034356088084523,7.1482441927402105,8.181793290548633,7.854019930278058,2.8655298965749374
8.0,2.2644352047311243,1.465211989140281,1.5721260676597035,1.8728974631992032,2.0700968615771704,7.653734197091928,8.325857563502085,8.372184968872824,3.565569348378781
9.0,2.3581163399596647,1.524136986149502,1.5681324235242398,1.74411053141216,2.0576804960154003,7.65001132563736,9.206674684569991,10.180885807132652,3.1685405615093076
10.0,2.378386634514615,1.5599178814426657,1.52683642209665,1.6118215530155704,1.9900509162893196,7.846121762302639,9.181216648300243,10.849711726823553,3.34925907861085
11.0,2.4318975088236687,1.559468560226854,1.5852635843107836,1.9065558363032962,2.1582656541111773,6.894213659098797,9.633580492836717,10.87808519641976,3.118954822893028
12.0,2.7048411412386977,1.9529200648497953,1.6891804080467185,2.0587949801330887,2.311562032173071,8.0770671126874,10.896485567012455,11.615177458524252,2.9946403399689183
13.0,2.608978954937878,1.5590431464132497,1.566924510690664,1.9423946793455942,2.2062820107465266,9.678861315307085,9.195711113758902,12.150719727471461,2.812226474161654
14.0,2.799658073300141,1.731675056591152,1.4929343505471542,1.9814685134091243,2.2002006254109734,9.519221677642511,10.855586936504183,13.742504339065983,3.4020252611293786
15.0,2.7803521733770977,1.9386666427081773,1.5397920239440643,1.99112091692926,2.2606259036974268,9.305596570220011,10.504517900136133,13.027190530514464,3.16056219580868
16.0,2.8356639777227013,1.8438769331665181,1.5433671331086969,2.0060385554486007,2.2430081461892937,9.068646404392144,11.521338039339192,13.587634601940863,3.5688102232984615
17.0,2.8665802067815713,1.8373520252318483,1.7057700577085708,2.1213599855935064,2.358367343068975,9.451257828898159,10.22934097626055,13.556928168753375,3.8910481693767567
18.0,2.7862446557412794,1.6890462693570765,1.674337133905817,2.044949564912432,2.2813071008421173,7.947679563501356,11.672524703808536,13.40058270514335,3.4921751788799202
19.0,2.733700273199976,1.6183664596096672,1.6200433706382338,1.9709855076177447,2.2580688773434736,8.08179358152331,11.832283124524286,13.095607008249743,3.304922008656263
20.0,2.8353978774434254,1.7466245642616058,1.808133257219178,2.028585706448955,2.3512631734267857,8.964072994967681,12.810338273685096,12.144729679161383,3.6306399089451706
21.0,2.954856484071785,1.7965886592391083,1.830145869824617,2.072573915653455,2.3965860537711,9.127357339675537,13.250370379416072,13.556236630344308,3.1584966127958958
22.0,2.9859553474604748,1.9185355908305508,1.8940955981738656,2.223542553316742,2.4875924793739115,9.553835680024646,13.58691340361381,12.20681907680014,3.381901070243139
23.0,3.1295408991557463,2.1052755069969553,1.9891445383599495,2.387174582088842,2.58936351057253,8.047386206401656,12.869369667935338,14.304329189063841,3.995515336440399
24.0,2.9671280891726,1.9366226133883573,2.1307890860320735,2.3980997400864332,2.615521710307832,7.680985349813903,13.6454061241756,11.14809176860483,3.6369791645208416
25.0,2.891574624395829,1.9814622906079407,2.0636528548366577,2.2147053225252704,2.5423266692571818,8.178307942531745,12.839526062020681,10.937115519726456,3.7358881978581726
26.0,2.896130677111763,1.9196136753522808,1.9994862137928284,2.0767863236033257,2.445678242648318,9.00660445707092,11.675554822106966,12.62286084034574,3.2621257156143773
27.0,3.1105000866026815,2.019273315537074,2.0264781750029486,2.310766457689231,2.5835003129450116,8.692226133440968,11.862322202974005,14.89126614729433,3.4856695298266227
28.0,3.1361897116047697,1.8632599471926377,1.943868347994141,2.2140596670056207,2.5049842077169084,8.398387768620779,11.733270885653614,16.507025225822325,3.6666485792251424
29.0,3.351143448613157,1.9655776612804423,1.935381730728371,2.540721907013208,2.6753119826150824,9.185627145698504,11.021500847758801,18.29776447431188,3.368125367133468
30.0,3.2046029827062656,1.670818323632744,1.9567990394758874,2.0449043592268654,2.477808762075307,10.23910025564383,9.84032740856325,18.465026831889688,2.884730608879069
31.0,3.0677896488072203,1.4363635401105919,1.8819419062653826,1.8347516514550668,2.3284564769359877,10.446109604037513,8.646721863672878,18.00070070679055,3.568515585266494
32.0,3.101592046284856,1.5929774851700793,2.1384438436951223,2.059873141647997,2.4933913504186607,10.545681188761913,8.200532467948973,17.11545439295677,2.7920620025781306
33.0,3.204366679763474,1.7136640781543728,2.2022830684334687,2.1952028684971236,2.6021618697569355,11.42248417677301,8.649161744453814,16.619917248376126,3.938536662315195
34.0,3.360421809887868,1.815234434134373,2.257281334326843,2.2560596287418133,2.6780008253703116,11.219569687418295,10.120722121936257,17.839465835138093,3.9684294774415654
35.0,3.5949159237653334,2.0001706268800543,2.5653928861150104,2.7083712995741003,2.9790591443305185,11.299503232479863,12.49671019176713,17.16482605274922,4.06317234531941
36.0,3.678187477888311,2.565306842549939,2.715301934598253,2.838189451549847,3.126864694578045,10.159166786384585,12.26916881232397,16.517326112195406,3.9103746872962506
37.0,3.667059929630865,2.1674268252094864,2.5442830755497194,2.547044286186338,2.8989063470267866,11.67078154279258,12.502038630815324,18.411835645366644,3.5000291415532514
38.0,3.4882667331902466,1.762609220589053,2.458643628226578,2.4335401368813585,2.819779296800095,9.764906018240875,13.765144283250686,17.79153509003608,3.8104037469568683
