Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
0.0,1.4462852300975312e-07,5.828167028269287e-07,1.8827178351577135e-07,1.4924881908736946e-07,0.0,7.115383217081796e-07,-1.0
1.0,1.3090533860281408,1.3370734516572278,2.0105821893943734,2.72408519403942,1.362887512276266,4.73384299469102,-1.0
2.0,1.6970482369995656,1.5511280899238389,2.7081836833071278,1.3809181175726801,1.6324226633205074,3.9425670820547647,-1.0
3.0,1.6928508197029233,1.646997543746811,2.546720794477594,1.9296489888444963,1.603017878944321,5.020911410757009,-1.0
4.0,2.0323618469976057,1.6156821269716939,2.966808473802693,1.7338831282482359,1.5843431971823925,6.0683036177150935,-1.0
5.0,2.518421999215309,1.699001241968903,3.0862013863327773,2.2462330320606845,2.423168720801665,7.520938424208246,-1.0
6.0,2.54909241561797,1.867146911568165,3.205345156918305,2.265169969324855,2.485995721018019,7.295694950960532,-1.0
7.0,2.6276352733217645,2.0169354776865185,3.0871486539867776,2.13446588496239,2.4482534560612015,7.082442555952117,-1.0
8.0,2.4606162985357334,1.8883700723234664,3.407659723321037,2.67532389709765,1.7602411089715178,6.477228021507451,-1.0
9.0,2.4903066960895424,1.974630251298944,4.30294049033948,3.1484762041165415,2.230219333901338,6.639285902647934,-1.0
10.0,2.2719314783426197,1.975420542725068,2.9539949224006654,2.5852713855102065,2.273675879319975,6.595577098750243,-1.0
11.0,2.368392892325887,2.053692899578,3.5132472313199448,3.3360526325544186,1.9920542916024644,6.848347026744634,-1.0
12.0,2.5626869015305664,2.1421333397356377,4.7987661802856945,1.6283931437750143,2.3132168844289915,7.211786542897918,-1.0
13.0,2.5079353022970228,2.145005161008484,3.6758824918301634,1.4897443438212605,3.46912460634016,8.005852222044656,-1.0
14.0,2.648642889835101,2.065680094352541,4.411667345645587,1.9445042928848408,3.3982214234755856,8.624019294880412,-1.0
15.0,2.6628857792951823,2.0072537325052795,5.91030291170328,2.4422978915942606,2.8787045395201285,8.806294483522661,-1.0
16.0,2.8819347054819824,2.2172926527325476,3.623916831175269,3.5678193595950853,3.0704172486861645,9.126649454798697,-1.0
17.0,2.7563475700834768,2.2184620499648697,4.659304936144409,3.4172946002807945,2.8890044651763733,8.873209629971047,-1.0
18.0,2.6991612930711266,2.210567011880991,4.4830693199904035,3.3785103945721486,2.664299473138686,8.104477808459029,-1.0
19.0,2.7073366650128694,2.2558072526263646,3.7711938845842194,2.673197394736912,3.687332225990229,8.056588715688083,-1.0
20.0,3.1216536142805533,2.2552036020272834,3.6682092078698205,4.301949410801867,4.953406463919177,9.70336319017859,-1.0
21.0,3.2357762873515328,2.3468264573197772,3.800725576907084,3.492432326875086,4.858955294227681,9.533836561979273,-1.0
22.0,3.152907138642732,2.3378223179113564,4.660229188302401,3.7538207781727793,3.950102070756888,9.67093287068336,-1.0
23.0,3.2757367485727995,2.237186348274977,4.728920945757979,3.8078682463098734,5.9199323543906965,10.083206162015149,-1.0
24.0,3.1383534283863903,2.2459606318579928,5.21423122874752,2.681037853322415,5.427303812888866,9.444364845393931,-1.0
25.0,3.137044465309894,2.2881033595246696,5.5403867955495,2.2604003844425873,4.916977620357551,8.407905213851215,-1.0
26.0,3.184969615273845,2.344615191770578,4.122025906491812,2.271107982098575,4.107051482683776,9.011942453203883,-1.0
27.0,3.0992623425562593,2.1429018817905234,4.74431321118007,1.9195581122619843,4.2335488885344,8.44997188450818,-1.0
28.0,2.9100367053346354,2.2671640072692756,3.813490560451335,2.130470510917597,2.900746684744785,8.317902158516226,-1.0
29.0,2.8591494082616697,2.190401052966315,3.8510198375267657,2.362670589010719,3.1642512615718608,8.664057254978973,-1.0
30.0,2.813817059804147,2.144971811964794,3.5567089637946463,2.1714651201427033,4.591029507617917,8.821811232170678,-1.0
31.0,2.8256016194690123,2.112477041323638,4.265566956746726,1.8249989276910548,4.084800868471666,8.636144064157088,-1.0
32.0,3.0207880397819293,2.3680785874735517,4.657369102809136,1.6277506548457794,4.463060555934656,8.964284139847674,-1.0
33.0,2.9722936128300956,2.3343971747216274,5.684068472207957,1.5827034978844652,3.6096564608832415,8.94781408947203,-1.0
34.0,2.87118110545508,2.319738574745229,4.434474299974964,2.3736048706865853,3.0179410724199487,8.151345298643378,-1.0
35.0,2.692304710541054,2.302886777450815,4.683863720240745,1.5786403683981516,2.931013317984152,7.860705700533011,-1.0
36.0,2.7580336660609923,2.2685502366395993,3.6984730777358044,2.213236555562337,4.048420073109496,8.780420652371127,-1.0
37.0,3.0974964008568655,2.364217760417347,4.465250264319863,2.0675057924986584,4.853700783774535,9.686725883115814,-1.0
38.0,2.8143256599138375,2.284582845185789,3.3245498275985668,2.915469872695791,5.15961260555368,9.284891088489832,-1.0
39.0,3.254962984898352,2.612313154569829,4.994309588625102,2.1055322205085796,4.840004845069123,9.395456387089665,-1.0
40.0,3.2512817043369537,2.506704650172395,4.977970845792125,1.991785115750996,5.512292626576275,10.34818409485761,-1.0
41.0,2.9866065708068636,2.3904376402063283,5.889080609936217,1.856460810219891,5.940804538622997,9.30975915204362,-1.0
42.0,3.160150948417428,2.350876865697839,6.836341859399854,1.7983376412992806,6.1551955647221215,9.92958181024948,-1.0
43.0,3.250149034446163,2.3398359063488705,7.19221077691564,1.6900770497215212,5.347233913623453,9.717214425341108,-1.0
44.0,3.0549353274323514,2.354082584077634,5.457287330724991,1.6020222927090557,4.912432407790688,9.23543293692926,-1.0
45.0,3.061606072938501,2.2139698544874857,6.46039511593514,1.745918484966867,4.9566150607412585,9.29796480687373,-1.0
46.0,3.042849303097086,2.0707252354082453,6.48662882256528,1.4212845680031592,5.497791596146839,9.647882725548348,-1.0
47.0,3.0159150007638598,2.178890759326381,4.62593752116785,1.604343421335737,5.771574530530202,10.357664623332992,-1.0
48.0,3.049886213891636,2.2668466215596776,4.863057033865072,2.314703824566533,5.699906183518417,10.012413140022776,-1.0
49.0,2.964778406638996,2.2194812683089493,5.237766961210286,2.0377448729163485,5.589057045653878,9.895450629815324,-1.0
50.0,3.1139401732627103,2.2036674931388025,6.681155932373985,1.7493637515555613,4.034219652781893,10.829136085960926,-1.0
51.0,3.0555852236293073,2.1622081494244623,5.726571016205806,1.9405742110004822,3.194181105299311,10.600092975914961,-1.0
52.0,3.281153861881387,2.1461096071140284,5.593525279189877,1.9076310594525254,3.5370614198382455,11.121277575357315,-1.0
53.0,3.4142094981112274,2.228085665478691,6.0008045156087,1.8520163212349843,3.2524847725833683,11.564332339150603,-1.0
54.0,3.371229121446604,2.2450042291480155,5.065528911671795,2.4378762314590303,3.5111023040551714,11.638231738015453,-1.0
55.0,3.3794552945058705,2.1510990838038997,4.718147431529227,2.543876220240612,4.041671471790557,12.275881261306324,-1.0
56.0,3.373109228330819,2.174791265351092,5.384400295233824,3.528155290130096,4.007824391422962,12.504784286104249,-1.0
57.0,3.47626898573568,2.2318708802106317,4.332655010796051,3.683046445987512,3.151345394649062,12.681297605408716,-1.0
