Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
0.0,4.947172423884908e-08,5.678815778999775e-07,1.9770545447611096e-07,7.91801409906234e-08,1.6271774996473768e-07,5.557811827855284e-07,2.9613720304829885e-07
1.0,1.1555717420799627,1.2661199581208895,1.7530376725041312,1.059796235409891,2.608695437156111,3.4300414198725124,1.1471936004073737
2.0,1.4090270729421899,1.5063926775532057,2.752038817464715,0.8421202169028843,2.681386325906936,3.8008366815672048,1.8337888119326746
3.0,1.48272335239504,1.5113202057124744,3.3578859555573453,1.7493068904953095,3.0166770502482843,5.62051217922075,1.6721222324183287
4.0,1.9221095771813808,1.7988223541308173,3.1701797248211476,2.60014858466304,3.9396293036080863,6.988734002110138,1.897036234100722
5.0,1.8898358948857756,1.673820443966872,2.7713201534321357,3.425353400246986,3.9274475991476563,7.967529957520836,1.5533278774521755
6.0,2.08451262421264,1.8906244540996688,3.182142763105417,4.227980334690262,3.7320107001931384,7.210420466213755,1.7659846303339133
7.0,2.296250152054917,1.8612133213628155,3.729023730881543,4.693658815197374,4.644846109948391,8.354590209682549,2.1782498930906993
8.0,2.5042520798300334,1.897348233049533,3.1862007293350953,3.659000235222576,4.567559061471326,9.045747442038845,2.063590753118709
9.0,2.712958808725605,2.0551673605126153,2.921922460486013,3.1127347107632355,5.159332150414426,9.38403551306638,2.200216425631934
10.0,2.6096453439777987,1.974750767771187,2.5624244651532573,3.2445075865472948,5.449111132294727,9.67450495358794,2.1550476808060517
11.0,2.6760758414815817,2.093444619785544,2.486693187286871,3.3572902884417983,4.919285861518044,9.663678367953265,1.9607411334339369
12.0,2.412753247042934,1.974488329648121,2.8965144254980406,2.4774869731727303,4.918168870575781,9.08679200373124,2.060973407504928
13.0,2.5159869377064594,1.9433579152297726,3.259847910726128,2.5091953707471495,5.505313675847563,9.862597622991377,1.8482757884182535
14.0,2.731132031469958,1.9951498225422588,2.886691733098518,2.5155558216660214,5.2582219125471275,10.431265035174297,2.3788114038621644
15.0,2.7488196649412444,2.0000547075377484,2.7076522207126366,2.5018250741347736,5.703638440803619,10.93925625007388,1.8147089003048034
16.0,2.7787618686633517,1.997699994781913,3.6877444247285025,2.4116409690736855,5.410003089835779,11.174217634570253,1.78819689461538
17.0,2.992675064346825,2.1762542881436504,3.2208361168972734,2.6099454734709115,5.254804509586236,11.162269602387116,2.1164692023634673
18.0,2.927905895540147,2.036944798241891,3.145328381967403,2.546584269194489,5.56040714009556,11.935474757694308,1.9223082447656945
19.0,2.7401053095978085,2.036578137918766,3.2814486617048515,2.7431590826587784,5.406143595209462,10.625336806741963,1.9282478182174123
20.0,2.8956188122692894,2.062648973664813,3.348616102731844,2.803912249456218,5.875097608862352,11.39488496938382,2.201310929077243
21.0,3.1553035604781514,2.086931750022302,3.6476353225569773,2.573103581075699,6.084291303532087,11.97164647748092,2.182732367056006
22.0,3.2693575620080217,2.1174750555046282,4.0487839727160075,2.932937195540615,5.971476741152246,12.035532918219177,2.561241299360365
23.0,3.1071052538941313,1.9889730923232727,3.6870708066270854,2.9458900164474535,6.306470170910975,11.804189607257419,2.3583622373021003
24.0,2.9700002341815406,2.0046972569103523,3.832485035861798,2.5236648203019127,5.605765353660721,11.289157857557475,2.1538799715076578
25.0,3.06431805440363,1.983911508256099,4.041696701397683,2.1794725547927376,5.819580871805693,11.891823693810702,2.1056955612548376
26.0,3.037166752713433,2.0003398670992105,4.06336479429116,2.5172898622025373,5.340023913853002,11.997992267947964,2.2025577139507075
27.0,2.9598656906057195,1.9224993628368827,4.003669113398524,2.9784182717403724,5.646568022677154,11.332212270053017,2.0805597584580804
28.0,2.8829363537910533,1.9410917866960686,3.900165672396156,2.8116906873028125,6.637010794426237,11.72302684930487,2.2361178705127647
29.0,2.7993933960160238,1.946843175798577,4.349302605150092,2.675921464586138,5.913954690499521,11.757677682063076,2.249077288933127
30.0,2.7580123529243328,2.0084643910459885,4.594251430837513,2.985149514832339,5.7392019017209135,10.894792855386072,2.0940359066595917
31.0,2.7525305019834847,1.997330582128601,4.152741422035488,2.455930222783238,5.340595806067664,10.896624266736634,2.064635420069659
32.0,2.8407225864481247,2.046059362619709,3.592605407118956,2.3108986259464217,5.827284699592976,11.303373011181359,2.110922360317358
33.0,2.7522059234093614,1.9276169079139278,3.4729194883442864,3.0887065319473654,5.128127713835374,11.604258497285606,2.041535189607754
34.0,2.531725428564468,2.0803989258070237,3.5958113084447336,2.7008660048188995,5.568562251672063,10.579225657471776,2.250508494775075
35.0,2.4907323975724944,2.0006059532648406,2.726646238925081,2.5049956981569994,6.027593679507833,10.883559091654655,2.345043451396452
36.0,2.8147680774460673,2.127876899715697,3.141879907782621,2.70754797468158,6.270823525141267,11.587183675154348,2.194382476610703
37.0,2.9009285062925287,2.0608079288785652,3.0110962089764257,3.078968875870688,5.806245704530604,11.298942890616685,2.0654655145738574
38.0,2.9700560516613472,2.0787810554428137,2.4126959623724233,3.749366296380698,5.674968096063917,11.041873168645827,2.012084102728283
39.0,2.9952388727630517,1.9850955930789798,2.9195978332139143,3.6256787096631653,6.008952134440781,11.829063494226611,2.2840523585122345
40.0,2.974861856330509,2.089965380065185,2.321488844330051,3.821382225672539,5.562776615500689,11.550944523847987,2.3171081484798064
