Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
0.0,1.3893985777601427e-07,6.364979723280883e-07,1.765141369134201e-07,1.3677845743712567e-07,6.611292484494886e-08,5.857622184122787e-07,-1.0
1.0,1.1613649295871766,1.3769481891401545,1.9803864918469285,2.0556679489635363,1.8497738715774554,2.8429801864998425,-1.0
2.0,1.4740413190619932,1.573402278167536,3.3964614724848343,2.7778072962912272,2.750204520507169,4.538373921158308,-1.0
3.0,1.580524932043199,1.6735381769550892,2.739192268187357,2.806405449614462,3.2382275676869936,4.797067115288376,-1.0
4.0,1.751919538123626,1.7414307249009453,2.78850581740868,3.554395162184085,3.4303512656893886,5.741777258412098,-1.0
5.0,1.7932719316680283,1.872373968158253,3.247324103104145,3.456303660283941,2.717926274434164,5.1501435735409,-1.0
6.0,1.9586573927811899,1.8251853800038391,1.8310635917180544,4.297802046950494,3.421448724939897,5.912972430724699,-1.0
7.0,2.042435209497983,1.9221792829110003,2.608288852177097,3.74814711721582,3.476573369151087,6.123174434008253,-1.0
8.0,2.2988122304635077,1.9269539831269673,2.236264713527278,4.008247515517398,4.195340461378592,6.723363145335313,-1.0
9.0,2.3232251466525713,1.9905738190682165,2.354101927084684,3.9084116227508656,3.731612622503862,6.785611891315049,-1.0
10.0,2.5031537171904548,2.0851045666777326,2.8919596709626747,4.1832217987843965,4.716688670017073,7.152313116737326,-1.0
11.0,2.591340258579152,2.0755033684997324,3.252496776246452,4.449053635225834,4.69886425359602,7.354050954178045,-1.0
12.0,3.068996657967205,2.1162983237799304,4.2708129570738596,3.1602596383267376,4.939168628511337,9.248786864815909,-1.0
13.0,3.1748553483442223,2.1431628590565612,5.661490345758563,3.214921941888682,6.023739074294377,10.017248657173232,-1.0
14.0,3.420505269780707,2.2140226399654095,5.172227888346964,2.9858243461308516,5.335223040326338,11.07087742247944,-1.0
15.0,3.522306341192804,2.1897552167259082,5.739818833038005,3.827702970236153,6.082984868787037,11.618694229883756,-1.0
16.0,3.6413854179912186,2.237677977903549,4.666533129074832,3.4027740903083092,6.179095889134517,12.211127021419623,-1.0
17.0,3.4895106131648386,2.2387052034720583,5.231884030566829,3.62548561265796,6.109629771694219,11.602628830729282,-1.0
18.0,3.7267649425617444,2.1451279023256524,6.370492876744078,3.5432111802433535,6.388083673954372,13.317071571881893,-1.0
19.0,3.6217539644082577,2.1683190247651702,5.9540494791801315,3.9203786372546867,6.224687144341826,12.75186200819235,-1.0
20.0,3.8746214628286815,2.350133107645778,6.073956487286963,3.8662662566408854,6.787142121990946,12.98870324786007,-1.0
21.0,3.7860986535054852,2.2579906974905346,5.873722138998035,3.928170057156185,6.896885525669356,12.578130151375348,-1.0
22.0,3.805394040966121,2.271691773117565,5.155552720718736,3.483857201252587,6.131071243028065,12.237213461025874,-1.0
23.0,3.843980717462729,2.3534817543069435,5.077827765489231,4.231499322864631,6.752443659202986,11.541997816479396,-1.0
24.0,3.8042134750762178,2.3934257806256163,4.525151510585254,3.826138844991195,6.8992796636971,11.301657190680888,-1.0
25.0,3.8651561972185275,2.2891952759432814,4.60180815048886,4.006638912985039,5.653199213468718,11.175790608534763,-1.0
26.0,3.873927209081399,2.322049786050209,4.984702312297595,2.9535644072876894,5.652433552595656,10.667060997787901,-1.0
27.0,4.032015345279932,2.4461570469268943,6.080922446676962,3.9694453254453306,6.136475907945209,10.877377778249059,-1.0
28.0,4.1576687996615735,2.4738843910021573,5.3214423718768975,4.313025293858344,6.272203187074131,11.895818915513882,-1.0
29.0,4.03310729731371,2.3502368893085785,6.242044822509246,3.54961708756585,6.279690699201596,11.623198062405748,-1.0
30.0,4.352738707916488,2.4457860147585913,6.350639121695884,4.315325882681594,6.713814809691867,12.153313362321382,-1.0
31.0,4.5216567806992005,2.5685398226144756,5.704378568945482,4.0907895795864375,7.105463555758573,12.048915085367353,-1.0
32.0,4.549859036519476,2.6590417556971078,5.564896033827061,4.063220394974627,7.515894139539589,12.20452355294465,-1.0
33.0,4.670096361387364,2.7408249852382345,7.194103605091848,2.9552922237289523,8.211067734852543,13.396828995162288,-1.0
34.0,4.680475384286971,2.5872858746766374,6.615947076985581,3.4461179780546662,7.1785591875067,13.104883452928567,-1.0
35.0,4.931334447934466,2.667141063307898,6.187921481533813,3.4246614038623813,6.931320489058644,13.370390446392978,-1.0
36.0,5.129379908444405,2.694645224577875,5.881660560124555,3.92680758857319,6.983708897601698,14.067860752867233,-1.0
37.0,5.1964946955432785,2.709688307282211,5.342362765434939,4.093906786596104,7.098717116735035,15.04462322807831,-1.0
38.0,5.118266890834159,2.694860695516478,5.01487159994576,3.5604717108199893,6.8231190423744765,15.1417445600523,-1.0
39.0,5.0439898886600885,2.799271738982709,5.154304679220434,4.0579442544687705,6.9748770014720805,14.696922727577196,-1.0
40.0,4.8260792668794865,2.754160906213616,6.311181587005423,4.735149305572764,7.5351733103807375,14.363031252095414,-1.0
41.0,4.76370285843373,2.7905876683259145,6.537444624772112,4.1789564957312315,7.4925892143190325,14.24482611601744,-1.0
42.0,4.76191877417077,2.8015221305665077,6.200969516057588,3.727378651508896,7.558124877380274,13.87217889707179,-1.0
43.0,5.0514798373574,2.7463378237788603,5.810782399218614,4.218434702627496,8.423486618864285,14.236738269038918,-1.0
44.0,4.949942057027644,2.7286290100460984,5.481195910301835,4.298441887988285,9.474169446841476,14.118990623998863,-1.0
45.0,4.819206381290738,2.5283769639596354,6.049266085182746,4.35035276265445,9.951283015360332,14.081711958251393,-1.0
46.0,4.791250933115127,2.652775473378386,5.552594434104078,3.8527279385606312,9.598550395564896,14.048333776935582,-1.0
47.0,4.7777361135178,2.7496253036356584,6.574699600977805,3.938418060392497,8.804989949208917,13.716764615564916,-1.0
48.0,4.452498939825081,2.44775109648664,6.84999132795829,3.9833304347519065,8.119336451229994,12.955564919525019,-1.0
49.0,4.562640536824204,2.5094794023015488,6.840191853123994,3.170697109013397,7.978693741867566,13.751527114332687,-1.0
50.0,4.57057432052157,2.517983622755499,5.863527160074107,3.3808378594767663,7.520992652050501,13.82228255034652,-1.0
51.0,4.5120117936467405,2.5442851369438966,5.2520377674806955,3.1329998649749795,7.28855980074784,12.778964897930596,-1.0
52.0,4.509222179839916,2.6171574480623425,6.547588094686077,3.1778622652605795,7.4575187723698075,12.515188025317105,-1.0
53.0,4.601849364465134,2.669849849999239,6.232589378534729,3.3109448812771554,8.018130045648821,12.646982002188746,-1.0
54.0,4.688233204772219,2.7017565901827725,7.060815158422149,3.2276207744465,8.032736556519803,12.681858381999549,-1.0
55.0,4.642781410162501,2.6398132624651605,6.2477115705286925,2.8343947980979767,7.737793372318956,12.857484087809759,-1.0
56.0,4.643203875149814,2.5254940696997514,6.983016488023858,2.9860683659915686,8.307882215041534,13.48634359119334,-1.0
57.0,4.829364937296977,2.5871663221604235,7.158036612945838,2.6798657905536154,8.067209047436913,13.230295570049842,-1.0
58.0,4.921567826976074,2.5622809950415153,8.194114887426124,2.589360235740915,9.068235529248074,13.727647140834524,-1.0
59.0,4.938293563474169,2.574551979253523,7.6077135074585165,3.575453812678512,9.347319462797945,14.703003886232574,-1.0
60.0,5.136297682094779,2.567962422327987,8.663669022229639,4.491380172788096,9.355491750210005,14.765562005290587,-1.0
61.0,4.919861071522329,2.4851521316235203,8.009755769451347,4.083005884549081,9.703028987696273,15.07520602851195,-1.0
62.0,5.097364971010161,2.5379395985411413,7.816305921081592,3.857735687303602,9.44990026558211,14.559038385049977,-1.0
63.0,4.899641751382535,2.4858275889418695,7.918733710688781,3.5298130627228654,8.738904331022326,13.613589991079097,-1.0
64.0,5.0095346209997045,2.4283332221215863,8.335852632029479,3.481407836784493,9.33081662899883,13.998814717906015,-1.0
