Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
0.0,1.1130542527282736e-07,6.204813388896539e-07,1.5185711434432437e-07,7.450580596923828e-08,5.13629040853953e-08,4.4705749678626114e-07,3.0618373129427104e-07
1.0,1.1822339506248007,1.3631868091344406,1.7431656668647315,1.0731728280712483,1.5292047772934734,2.4519696028941174,1.2893733095547095
2.0,1.3763002886067417,1.484432560353642,2.430839050334156,1.0550165708189385,2.4645811141741363,3.6030872252251442,1.5132929159745439
3.0,1.7565567611068071,1.5813084987999364,3.1946159042703597,1.4933002305211889,5.228981937893984,5.678760604185087,1.5696591151726833
4.0,1.842886381124802,1.7794995439861754,3.4725330792332234,1.6508413517234029,4.92210240282367,5.7469325041344765,1.6083771388891377
5.0,1.8480197040011548,1.8242789399862065,4.066060310368122,2.0506454847872946,5.1148075890443225,6.26519271520448,1.3224942576553995
6.0,1.97315127158706,1.8946240485447061,4.201317719093776,3.2942907766752536,5.079370960081727,6.30452431442418,1.369015399222035
7.0,2.1936473802890735,2.0621590015297833,4.738354091099702,3.545616771309257,6.080167917375995,6.902045741641503,1.6041416922979919
8.0,2.241300658151047,2.0452525137042517,3.59534495751837,3.8060164255346254,5.299711121329163,6.720045849806304,2.0470600393836484
9.0,2.335014289742938,2.020663694602248,4.808692359172529,4.033087545021935,6.213641314251614,7.82525974072591,1.9765666978263035
10.0,2.349066541653707,1.9518441788440706,3.6408301712814954,3.987200235927307,6.502968655226696,8.073941783926468,1.7028926956267616
11.0,2.4103734135629726,2.125930187901168,3.751145418647761,4.717930487764524,6.498952977656014,8.67316736566402,1.7251938791655204
12.0,2.675734053763862,2.2487581843985973,4.296939426716187,4.932908328587444,6.2793629007592315,8.90106879583759,1.5980756491451698
13.0,2.5884284902666046,2.162688955354501,5.4603462954430215,5.205856432977481,6.539392432280041,9.599887682086488,1.799308897182926
14.0,2.773013595208948,2.164902723486258,4.883413328190027,5.055552319191643,6.499276133759649,10.289570635137984,1.9723823525238684
15.0,2.7511254570976873,2.198260161389554,4.152158594553296,5.7593963193114295,7.246684051258157,9.863539991126553,1.8271990095623591
16.0,2.803776200752437,2.1906723844018146,3.0972131553911115,5.400889625127107,6.989449284893385,10.218334920887973,2.2988330932850283
17.0,2.836748020152542,2.2963575732537835,3.4540348421676494,5.071317907857553,7.220486585498382,10.11742069221735,2.5451498602479763
18.0,2.7542117693089736,2.2321965641248607,3.6128329998339934,4.749332504139345,6.837549950680212,10.367877753968235,2.2590621745740878
19.0,2.701212838773099,2.225653190858979,3.6247246356996783,4.435932084601003,7.4986248169407625,10.562662945803226,2.5531342688633023
20.0,2.7992083202111493,2.302388880762517,5.010124469867205,5.308681669618788,6.366298348006218,10.61885647957576,2.2850056574058817
21.0,2.9123375581485504,2.3327654715511046,6.076229922277296,5.425640264944427,6.884342175352434,11.405584519600371,2.0600910933883854
22.0,2.940647793872068,2.413130795792175,5.539600483135797,4.321583157932977,6.119895139615125,10.571124140616108,2.1698413912486605
23.0,3.0866986948420347,2.503798290754365,5.076891081432338,5.12815085286558,6.705466470090271,10.704607750296544,2.409535856465526
24.0,2.9395769625016883,2.538650611422415,5.103589264292784,5.161239852004979,6.59614233463982,10.910327218902605,2.123723398684288
25.0,2.8627273051101785,2.473314382081477,5.689832376603622,4.769703434148631,6.688760429843881,10.635907930206129,2.218126225028446
26.0,2.8462836120935275,2.3886765903031044,5.297705098474831,4.53118574029692,6.1856180524069195,10.61094608778532,1.8557425007580068
27.0,3.0703506262947293,2.5153920880595293,5.132146307482317,4.7157442998012735,6.143580332675637,11.434393085734138,2.0804134493960684
28.0,3.0966144490479497,2.435335457216887,4.854209597730252,4.331433752072485,7.026034230418227,12.399084130770882,2.08039543961971
29.0,3.3011305056399114,2.603406918266959,5.425017569953335,4.157819569693542,6.553634608066747,12.814649310099977,1.9907299447174704
30.0,3.1564965610466453,2.432715494085745,5.301802676639789,4.597502350355206,7.100928839830061,12.736800177222783,2.0367519657032513
31.0,3.0372500976690486,2.3066767149747087,5.273335708185361,4.987777038763725,6.678990698052833,12.800773626942442,2.4358717053979158
32.0,3.085907340909479,2.4653398796611765,6.001679269151459,4.542371821800913,6.237800704071339,13.212373618319269,1.8560669318049081
33.0,3.188620295218976,2.56386950122531,5.523950531632301,4.284092741238166,5.970503129009106,13.272723561254478,2.2660559103941083
34.0,3.3325234177479084,2.6204108313591954,5.943975818877234,4.1104466064104885,6.302436601313067,13.670384608021614,2.2511791930504095
35.0,3.567085076725844,2.9062495054074184,6.098038273314135,4.68617029702311,6.144053592827034,13.484139793574437,2.301090358343086
36.0,3.634869807486203,3.010767609972981,5.561713146428951,3.577604955410815,5.7220661501578505,12.007672747570602,2.1234285014941996
37.0,3.6041651962986654,2.809331542200161,4.973705105117483,3.8870420129539256,6.632826560555642,12.996309847759127,2.0912281505753154
38.0,3.4403630375676797,2.771671237099371,4.879270023260706,3.6910792104773966,5.96275683274771,13.121944440120869,2.5750663753110143
39.0,3.5056808005104676,2.7866224860599225,5.40892681619591,3.8042596278805374,6.277813454819711,13.549234660660892,1.8112594715853447
40.0,3.5967195096616336,2.993974502624917,5.41552055225995,4.350139893410008,5.7651498631119145,12.930364244562226,2.036408026836505
41.0,3.529649757599051,2.70325557554834,6.172823612046513,4.296271070714204,6.770836356467482,13.25429833129555,2.2128968816394803
42.0,3.5918717056503704,2.7327971633580304,5.9073909588831715,4.05992120869893,6.563715769230232,13.31005992854415,1.7393610547473057
43.0,3.8143284454536475,2.904380733301767,6.071943893634202,4.176568296631166,6.806308168838319,13.826097344756906,1.927997891679484
44.0,3.9276207211570315,2.837958370813653,6.152869922180994,4.363596883027046,7.037364018912551,14.573474979765628,2.1936452295781455
45.0,3.803154710680483,2.814935261946773,6.182163263558225,4.29549436248897,7.261441043759602,14.32077079290068,1.777834716217718
46.0,3.965311192100006,2.893805191240276,6.35666320029894,4.156422639540932,7.276792676138044,14.419493818910976,1.8863980050199702
47.0,4.2735895108270725,3.0551120592669476,5.99577293758754,4.309548441324011,7.140236969126111,15.008608766032733,1.9265055186188733
48.0,4.032937914933705,2.974598731073143,5.502689684153265,4.2905646442124805,7.952845503607824,13.522067144375805,2.404552154131033
49.0,4.24265526531405,3.1546343197416853,4.806558423326813,3.6898108817814177,6.899582282520087,14.214458780453343,2.197851016022952
50.0,4.517566252327538,3.271588099450853,5.255748103741775,3.9401135370366718,7.029091388336101,15.592832061203636,2.002788521304187
51.0,4.540360070479122,3.358394318007012,6.052442778790299,4.20983492862002,6.723919193230205,15.010828991772573,2.246254950535688
52.0,4.0552793496715935,2.980913764181371,5.694626143614886,4.24707566114568,6.392335636003307,13.617608137563083,2.169870970922053
53.0,4.024369614213516,3.0395209359302235,5.467221395878781,4.0454295644915925,5.987839579329926,12.713854710977985,1.8154558072048097
54.0,4.030712130028818,2.9715042876049904,5.768132881800811,3.9865791240990425,6.762317231938085,12.382636188834196,1.7924581692016959
55.0,4.301080716539838,3.067402895654314,5.813637945496767,4.04898892423344,6.794448292087689,13.646465113210063,2.2429987521830936
56.0,4.045551015009764,2.975913807227242,4.880234710753431,4.171123397446275,6.0755727899723695,12.537785094402427,2.187132930794154
57.0,4.177994983551544,2.8916398144417212,5.034931423350424,3.8628529265028018,6.3185512448634125,14.326809715671153,2.1544928767228293
58.0,4.2167223488481245,2.9720875372214377,6.548744471782989,4.215043347884246,6.647111184879772,14.134654170477843,1.863182779251833
59.0,4.297996244302563,3.0346813892317175,7.514181112123325,3.8862929251766096,5.924750708933947,14.236413253561393,1.9871259899585196
60.0,4.383918824273171,2.8851084560644122,7.45088595425301,4.60460926798201,6.3621783374901755,14.832937199215376,2.381688788094331
61.0,4.672085362790064,2.9010403042269175,6.720876310133024,4.3563829182585625,6.810411419524518,14.446913156051012,2.473394886384455
62.0,4.554096712079589,2.9446687768139324,6.576760811131036,4.426901753643742,6.561700390155353,12.845060705324475,2.4915924383453913
63.0,4.720208644752813,2.9951338825521607,5.987917171305448,4.407771231599083,6.545821704921609,13.376756381762734,2.5922694230396357
64.0,4.857980458575821,3.309411185429016,5.806130487938843,4.20922240222045,6.753809696448455,14.671205558645832,2.7585572282750817
65.0,4.910778782824816,3.0931551435903204,5.984986207848313,4.8616155829048555,5.879554435171263,14.410602009040499,2.5884051903070207
66.0,4.817280377352532,3.0735746216091475,6.80029177323991,4.834915154716774,6.282658797023581,13.551272840010384,2.7392449521670206
