Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
0.0,1.498428662252606e-07,6.115305883970086e-07,7.948191143277353e-08,8.363255977870393e-08,6.750408095786426e-08,5.350882213392089e-07,-1.0
1.0,1.1323500284325951,1.2468098574422686,2.372539142477368,1.6783412428761066,0.8412298059983813,3.4476202981722714,-1.0
2.0,1.4454381636287967,1.5510967794369481,2.9343592538602348,1.9774444265114097,1.4965184098002509,3.6717284855091314,-1.0
3.0,1.6643473194063523,1.5528663191943284,3.9170471469482364,1.4349329556381107,1.7928777852666165,5.704606430220861,-1.0
4.0,1.8718508671245022,1.7808767430964703,3.7623027962793,1.372603191613969,2.3542004759016213,6.303985239652947,-1.0
5.0,1.8566507323805834,1.7146852970544983,4.572421495782198,2.750444218980357,2.709576861670965,6.448352781356512,-1.0
6.0,2.0512726833179102,1.7929110667569539,4.4668983309569175,2.5002114804727618,4.0709002402275445,7.684627082001817,-1.0
7.0,1.9596291996389528,1.7992905301021176,4.666020201531973,2.713293676091619,4.188287584047475,7.704548848159891,-1.0
8.0,2.2035986391638303,1.8894929635219306,5.644894519327811,2.35213993472679,3.8880640518925365,7.5116549097277066,-1.0
9.0,2.4637451484240698,1.8306165126171434,6.767905790788929,2.719585150014444,4.511138294054973,8.839344882820454,-1.0
10.0,2.74972600563457,2.0757579905480195,6.678534045270962,3.374859702358037,4.79296327267538,9.068974809888564,-1.0
11.0,2.8474252604657777,2.0661913163645496,5.971274277482398,2.9363211227757677,5.163478898207451,9.782141257359058,-1.0
12.0,2.64936957890829,1.947491233091698,5.906012557279533,2.6549191410180946,4.751491985069319,9.961109554577924,-1.0
13.0,2.669176457439664,1.9601598648986847,4.3880718146010995,3.028275715893585,5.229724608954417,9.76515539986426,-1.0
14.0,2.702180573086941,1.8675261276670085,4.597747754319586,3.393301282191598,5.37555198342337,10.328705558590716,-1.0
15.0,2.785698253881228,2.0056621235761614,5.384984399560351,4.5908751307417255,5.874102355074045,10.452044198616111,-1.0
16.0,2.7982099969121874,1.9482880475270823,5.077272498413293,3.2186299512057843,6.038342827975165,10.387840174180665,-1.0
17.0,2.7269722140974446,1.9508163661977473,4.872240790485558,4.394665922730634,5.797847253234158,10.098129222376247,-1.0
18.0,2.7812052958735936,1.935353919137383,5.303791329025972,4.750654489724172,5.3101478086210205,10.918419525775807,-1.0
19.0,2.878437873335393,2.0963006632897065,5.506194671431682,5.192435408385678,5.883753697112409,10.738208109159194,-1.0
20.0,2.7678546036244245,2.1655283938866345,5.768132643799403,4.3991186913752,6.453048902294351,9.489303550988483,-1.0
21.0,2.747458106676498,2.0130813400243923,5.3609252858687215,5.1369879976213975,6.061460164312871,10.192303671951429,-1.0
22.0,2.918721625887485,2.064320615171587,5.722229774128008,5.090058580332245,6.077734277835589,9.863678635831734,-1.0
23.0,2.8530981197406766,2.0438659309539617,4.797524273571189,5.535568463396057,6.278331346345001,10.094612479976123,-1.0
24.0,3.006747426345399,2.2361757896932257,4.951211877632601,5.748343481312975,6.94707657243011,10.01673973010478,-1.0
25.0,2.872832821767886,2.1071534746141047,5.439810859524816,4.9688634512476915,7.568372696958274,9.949633050171085,-1.0
26.0,2.951103253372128,2.1163114243840266,5.974922553273825,4.753362749485977,7.541234900204166,9.994055736894147,-1.0
27.0,2.8095270783030597,2.1473559732818046,5.9700944151795055,4.5510197007733835,6.638881920905198,9.681110565637791,-1.0
28.0,2.8666562338556245,2.294830013543434,5.270987908149698,5.073072234807629,7.219845969274143,9.460110394255038,-1.0
29.0,2.8186459732756184,2.193838003947248,4.993131972400165,4.099129269400936,7.847283097797065,9.399061746058683,-1.0
30.0,2.953671819473405,2.251045263466265,5.4931262474265825,4.360978076645139,8.06707113129209,9.520424586116839,-1.0
31.0,3.0845981664862614,2.1845921342443977,6.693327103986624,4.356507149098943,7.142530059396487,9.728620536246963,-1.0
32.0,3.256862297812793,2.3985815227467255,6.7236264150328395,4.14744204136507,8.29002487602692,9.330139581091984,-1.0
33.0,3.3991340505972527,2.203291495288119,6.176505569300829,5.2209434000474975,8.058587177384807,9.657791871073043,-1.0
34.0,3.4409889165102876,2.2041541663457607,6.646362072782696,5.114064080087448,8.731167449935496,10.205515965646665,-1.0
35.0,3.284595435783601,2.2450626539966754,6.393509442751235,4.013790886039892,8.034854359161768,9.43172575217983,-1.0
36.0,3.4717591746562175,2.2935882370059644,6.315126230602215,5.818805274350168,7.89459393409448,11.825389752781957,-1.0
37.0,3.3612537158110474,2.433040417885267,5.069072914401411,4.107175058689156,7.030279647456262,12.341158769272294,-1.0
38.0,3.28249861067817,2.4159815453396276,5.544965834396303,3.042021908654051,6.897200039213084,11.990847794258054,-1.0
39.0,3.189878322267476,2.3788584275264504,5.95331423346124,2.6494332463639823,6.890936889411269,11.561842951641129,-1.0
40.0,3.1607468611678415,2.393196068036003,5.819882162545349,2.378099688597494,7.630261041459582,11.232429966224103,-1.0
41.0,3.330872116509702,2.3479775591664125,5.110070096665242,3.1040491778270245,8.030376871296838,12.317995312258432,-1.0
42.0,3.279407039788257,2.6340726862525172,5.149564538215332,2.188274390607946,7.808138373496063,11.160231345521895,-1.0
43.0,3.5241437884426463,2.700179071619515,5.669726763726156,3.9808110961329217,8.411682782251525,11.481888515020067,-1.0
44.0,3.8583783648422836,2.677621402289706,6.4816292287827295,4.0211634898367485,8.394411135543905,12.669252828014658,-1.0
45.0,3.797638172098772,2.7358339968763206,6.733878831706255,4.026639454853263,9.112706511946483,11.70425955443942,-1.0
46.0,3.7008252904070527,2.6131762363385262,6.452183753885003,4.465995711612764,9.353883295741937,10.466480329449102,-1.0
47.0,3.455135909026892,2.349274305583087,5.452377828191821,5.127093211509077,8.596784388467906,10.40596471395061,-1.0
48.0,3.6628982001277444,2.485775601656674,5.369899815940019,5.44982146517826,9.2801861873319,10.641293559823918,-1.0
49.0,3.620147301317349,2.48975643090494,6.175899300089126,4.670759026441482,8.538734194902354,10.42361755741207,-1.0
50.0,3.7347881708385255,2.477966986828278,6.844166826288899,6.256266608132721,8.875517235888836,10.72031902196378,-1.0
51.0,3.640291409055897,2.4233443674702544,6.328891045358392,5.7915603762385155,8.071941340674492,10.311526989386191,-1.0
52.0,3.4835478042866272,2.426278247160033,6.604550010902442,5.459568429910068,8.191211189543797,10.043921720892136,-1.0
53.0,3.5873916280916474,2.5222735206869213,6.543822034306966,5.083775100931801,8.260637395439272,9.934382492458695,-1.0
54.0,3.4529874407734846,2.531014919868722,5.890920475149093,4.815176664941298,8.572306518083675,9.269244791393042,-1.0
55.0,3.5331921281373635,2.538297511070017,5.852904600711019,4.0562212319588555,7.728851870297857,9.359731166348157,-1.0
56.0,3.464134188961373,2.444130696786932,5.909259906303812,3.944962838804919,7.896706477712644,9.34180655538254,-1.0
57.0,3.534348622595127,2.465275345251823,5.302491200951425,4.722546240664314,8.200310048678523,9.442722656117331,-1.0
58.0,3.7612779642114593,2.4885024383161922,6.158047182433613,4.162589151279357,9.126271229227267,10.274077144450825,-1.0
59.0,3.7183142409273655,2.494961591401474,5.773631102509339,3.723363687780764,9.260488027757514,9.792191766198846,-1.0
60.0,3.369928743872822,2.4243230368931337,6.187008570962378,3.936779724832113,8.40275658663072,8.923261945274799,-1.0
61.0,3.6706881246257472,2.525558991116619,6.715636939929097,4.809839597250893,8.800188549973816,9.577916262528852,-1.0
62.0,3.581082376770719,2.5129822247903073,7.1339419000251745,4.451036203790593,7.715452423823994,8.997402458610718,-1.0
63.0,3.8182736519543314,2.7352555385367543,7.029008960843131,5.082929578970884,7.7004881686981825,9.463185151090691,-1.0
64.0,3.709139019685877,2.6552232104733116,6.992918939993728,4.49985431931651,8.424350286033539,10.003609578586227,-1.0
65.0,3.9325349981374025,2.593430299453123,7.03214818588426,5.0255012862715684,9.075441896556361,10.016766807439344,-1.0
66.0,4.039882101867303,2.603485443168588,6.548730311179677,5.65261506735134,9.11707796151244,10.435900744117072,-1.0
67.0,3.9686955066195413,2.5867195347920773,6.5166141230388765,4.55829404480208,8.524904642287114,10.102238236544911,-1.0
68.0,3.9747139174622506,2.657072324490122,6.838300950480393,4.704794598607982,9.192729768242334,10.362436527013106,-1.0
69.0,3.9847794174646434,2.6217742092196126,5.995422126402623,5.210088352173713,9.125318274423913,10.234929686566742,-1.0
70.0,4.164554050549078,2.821152062144943,5.573427778445721,5.554676103093419,9.53996578485699,10.247848525890571,-1.0
71.0,4.031615185437932,2.718430001369557,5.903571939132167,5.855841739871858,9.632798296526692,10.442429754430483,-1.0
72.0,3.9304952087854614,2.7424436107988,6.133716783474116,4.158537513995496,9.709035716554732,10.264706541013254,-1.0
73.0,3.8323151899861867,2.667717853367256,6.169540484716859,5.086659495668584,9.103589729895761,10.052361770128641,-1.0
74.0,3.8341230851384873,2.5523043506064935,5.660785277061167,4.550061670956884,9.11192715362855,9.974577397713905,-1.0
75.0,3.944985621655149,2.6184769518035647,5.205893676676582,5.023857117559092,8.823919159993292,10.13402461921297,-1.0
76.0,3.795494232001349,2.615446121745073,5.1531684263418045,4.7700983392719465,9.292496614997471,10.58554604180792,-1.0
77.0,3.7516078496348713,2.7140819372549263,4.353426798392218,4.825896713477427,8.565049596461616,10.239145045398656,-1.0
78.0,3.7217287109208077,2.5820763627237397,5.240915016553498,4.935169936521157,9.107693059747907,10.652762534031991,-1.0
79.0,3.7345360491177018,2.457896053827643,4.73858033503913,4.107658547790739,9.342039211701575,10.39738926061628,-1.0
80.0,3.5614162760918733,2.4738938860222834,4.889699100092701,4.924712349126962,9.489363930587093,10.71727057068927,-1.0
81.0,3.5439770430076645,2.5504281756373803,4.57926354896455,4.144932895675855,9.779190175764358,10.516818203400714,-1.0
82.0,3.4658652033320565,2.560056499065831,4.994528341210322,4.167739672847909,9.301219847097192,10.484233325401172,-1.0
83.0,3.3642204659699977,2.4681321629130766,5.923625002515791,4.018370878668969,8.976038728161047,10.144530936785996,-1.0
84.0,3.1731324537709424,2.3597633525734487,5.692094541884645,3.800550593945577,8.827334992218212,9.803659500931612,-1.0
85.0,3.3305204744104433,2.350699109945142,6.407175609500999,4.1572448805074425,8.494636942173921,9.768735985783806,-1.0
86.0,3.681387395705287,2.5896411202602665,5.545691811834881,3.941339245660222,8.935280774954371,10.178573035758898,-1.0
87.0,3.662006139117907,2.474886108141674,5.432929063514207,3.982463758758676,7.469391566350071,10.692451572401978,-1.0
88.0,3.5250325150772746,2.4743366222848677,4.504769771346095,4.440476467764702,8.002975124987405,10.415066589900555,-1.0
89.0,3.772276081325361,2.387204738933728,5.440418790071403,4.117930756049257,8.582195604055308,11.078597113079196,-1.0
90.0,3.745585593243487,2.506383772410044,5.459354419059896,4.010772551202488,8.49391897257372,11.047914878487314,-1.0
91.0,3.8657199414391257,2.526769220719093,5.402638787018444,4.0938567456828645,8.765423709464718,11.400958893253181,-1.0
92.0,3.987908324330132,2.5140461105193452,4.548230309080805,4.576044446291964,9.51027476069555,11.719655472491045,-1.0
93.0,3.8699138508237674,2.5839673646855608,5.438091182121949,4.485529146919296,9.885603408079433,11.519031893952818,-1.0
94.0,3.755156393074514,2.4229180181201406,5.073610874045572,4.238123638830612,9.259415354369795,11.304321408983885,-1.0
95.0,3.749938139185277,2.45116052941762,4.937351664637562,4.191649146492474,9.269748672580793,11.99378097788966,-1.0
96.0,3.6163348574583596,2.356199970139279,5.214659247728344,3.750891802497002,9.142916650999855,11.954230357913557,-1.0
97.0,3.4496342565449445,2.360673513258866,5.6968049077803276,3.7831080575787137,8.7107347785788,11.603359248088644,-1.0
98.0,3.6552380749664244,2.571464617860858,5.619860819193362,4.4646979862749925,8.407465203921324,11.719493909159047,-1.0
99.0,3.630381078999957,2.6290698807517745,5.821992446868519,4.448161993492932,7.877313360154174,10.839047476478834,-1.0
100.0,3.6142921012165248,2.6864182116878164,6.0166160680408325,5.448021203774397,6.473839684871845,11.661250911875046,-1.0
101.0,3.622856384977399,2.4993484734593556,6.139406891991729,5.772316509027055,7.696971583821392,12.927364630683876,-1.0
102.0,3.559681562025581,2.4531414274035592,6.1546296498420565,5.535176587228927,9.366284600059844,14.022695583173622,-1.0
103.0,3.574337306568802,2.56871866391004,6.72952054181363,5.567411911332784,9.133831833687161,13.344533261186392,-1.0
104.0,3.485778222824045,2.4541114582025716,6.292192813943172,6.1106922870401625,8.893370238422426,13.501454380770378,-1.0
105.0,3.540026775837992,2.4777026796723476,6.552120905692841,4.464555222147908,9.031620591203623,12.867627348436008,-1.0
106.0,3.6400231254597637,2.5006014032110295,6.604468062865834,3.565911722397738,8.901940362805865,12.817508385547516,-1.0
107.0,3.4589246612148172,2.5574999072391282,5.801947654919873,3.882774399114086,8.719269555617753,12.304417920519326,-1.0
108.0,3.2903817581215016,2.416554867732161,6.077444896552677,2.842074375579322,8.447425335541256,12.32958077504474,-1.0
109.0,3.1409310712410354,2.4964751184388136,5.288758693739009,3.477267500078134,7.878425782599075,11.560106132260836,-1.0
110.0,3.2744092044214925,2.5634943522970857,5.136600747760011,4.358637663462857,8.597601802553257,12.220229026950271,-1.0
111.0,3.3491688769095886,2.5165603944700705,5.264719379332455,3.8924275624700626,7.634899925961423,12.39308043641085,-1.0
112.0,3.326711314540305,2.5085017117771273,5.132359673387099,3.7216898126319258,7.190756478920391,11.331502349524396,-1.0
