Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
0.0,7.870500890450772e-08,6.059337123733921e-07,-1.0,-1.0,-1.0,-1.0,2.7244293630349167e-07
1.0,1.0865833115976475,1.3461454088911666,-1.0,-1.0,-1.0,-1.0,1.0488420996642849
2.0,1.332306223156159,1.5469996060152096,-1.0,-1.0,-1.0,-1.0,1.1520898505098702
3.0,1.36457151394274,1.644251527450707,-1.0,-1.0,-1.0,-1.0,1.2566112334116497
4.0,1.365472431391083,1.6866736244371998,-1.0,-1.0,-1.0,-1.0,1.137642543610566
5.0,1.4933780933453256,1.7910814330060498,-1.0,-1.0,-1.0,-1.0,1.3091464891152347
6.0,1.6465966241554624,1.820365916966871,-1.0,-1.0,-1.0,-1.0,1.529051140549382
7.0,1.4828238442265023,1.8019660530339596,-1.0,-1.0,-1.0,-1.0,2.1181613011682865
8.0,1.6299951734266982,1.8301458840061984,-1.0,-1.0,-1.0,-1.0,2.5734523129851183
9.0,1.8127016071142563,1.8676905248184807,-1.0,-1.0,-1.0,-1.0,2.0831987263668674
10.0,1.8314367440726613,1.9218987693662803,-1.0,-1.0,-1.0,-1.0,1.984172078396464
11.0,1.9035163293024988,1.9435347129603315,-1.0,-1.0,-1.0,-1.0,2.2131655483240285
12.0,2.044072888474509,2.049371612251133,-1.0,-1.0,-1.0,-1.0,2.035376903571795
13.0,2.091810723170359,2.086621581430424,-1.0,-1.0,-1.0,-1.0,2.8875750584971542
14.0,1.8835897287819843,1.9513852789726587,-1.0,-1.0,-1.0,-1.0,2.396410199010715
15.0,1.8481314396334392,1.9917000234256006,-1.0,-1.0,-1.0,-1.0,2.777970753602838
16.0,1.9441892842973518,2.057026792076364,-1.0,-1.0,-1.0,-1.0,2.3638743708583227
17.0,2.1024033979985086,2.1176027981866654,-1.0,-1.0,-1.0,-1.0,2.4506608172393225
18.0,1.9017892341080054,2.0420495591813546,-1.0,-1.0,-1.0,-1.0,2.6335741310756378
19.0,1.8871420998653232,2.0076382931699066,-1.0,-1.0,-1.0,-1.0,3.1745635075545695
20.0,2.0034988946781467,2.0735591329706664,-1.0,-1.0,-1.0,-1.0,3.166031788156322
21.0,2.002658088594127,2.1162023617811876,-1.0,-1.0,-1.0,-1.0,3.3585930083087914
22.0,2.0581612724878036,2.105847250696853,-1.0,-1.0,-1.0,-1.0,3.7302942044816914
23.0,1.8802719441837137,2.017781343260713,-1.0,-1.0,-1.0,-1.0,3.550466631162163
24.0,1.9709779976299608,2.0419733299676075,-1.0,-1.0,-1.0,-1.0,3.2067678224732417
25.0,2.2303508678109236,2.1836601620375475,-1.0,-1.0,-1.0,-1.0,3.056839712826922
26.0,2.0268888578950457,2.1105799886971663,-1.0,-1.0,-1.0,-1.0,3.2465972252590247
27.0,2.166840932605576,2.1956749648014036,-1.0,-1.0,-1.0,-1.0,2.947852400248815
28.0,1.9801929906053182,2.190357273058255,-1.0,-1.0,-1.0,-1.0,2.692486059785562
29.0,1.9680992607145273,2.0951722571297684,-1.0,-1.0,-1.0,-1.0,2.6727306706875082
30.0,2.0888942837696813,2.190634256708544,-1.0,-1.0,-1.0,-1.0,3.5280384051652267
31.0,2.1451415460670242,2.1947677971417208,-1.0,-1.0,-1.0,-1.0,3.4168380417179507
32.0,2.407394392832749,2.359085822961506,-1.0,-1.0,-1.0,-1.0,3.331841471443575
33.0,2.3361400235346,2.3460768585936087,-1.0,-1.0,-1.0,-1.0,3.299143446459648
34.0,2.162550054597209,2.2684051517340613,-1.0,-1.0,-1.0,-1.0,3.276136862472532
35.0,2.1630998693380428,2.241819511347171,-1.0,-1.0,-1.0,-1.0,3.0665349448456674
36.0,2.125957146895098,2.2133870279402084,-1.0,-1.0,-1.0,-1.0,3.0781603836513614
37.0,2.3349302997672754,2.35896380721322,-1.0,-1.0,-1.0,-1.0,3.7247265283283966
38.0,2.2436383706632235,2.3494865784655516,-1.0,-1.0,-1.0,-1.0,2.6692867845835124
39.0,2.0407283474870015,2.222463234872037,-1.0,-1.0,-1.0,-1.0,3.1848175425702636
40.0,1.995150094660767,2.1947622635567368,-1.0,-1.0,-1.0,-1.0,3.7541050301671177
41.0,2.0751629933196853,2.2634472777263723,-1.0,-1.0,-1.0,-1.0,3.524923015204122
42.0,2.0708944879045883,2.250095831981644,-1.0,-1.0,-1.0,-1.0,3.1476605459068208
43.0,1.9981300047339432,2.2447865932794246,-1.0,-1.0,-1.0,-1.0,3.017121331393212
44.0,1.9979096871387256,2.278489596163972,-1.0,-1.0,-1.0,-1.0,2.6256786533724337
45.0,1.9781712097580573,2.2524864003246656,-1.0,-1.0,-1.0,-1.0,3.41241438234959
46.0,1.9834197743601227,2.193408112474081,-1.0,-1.0,-1.0,-1.0,3.396058586850125
47.0,2.2263694675133063,2.3805166889142226,-1.0,-1.0,-1.0,-1.0,3.744108579968609
48.0,1.969704766282228,2.269274127331289,-1.0,-1.0,-1.0,-1.0,3.2845974993230094
49.0,1.917240212272068,2.219413996690132,-1.0,-1.0,-1.0,-1.0,3.593345023988463
50.0,1.8948542784687086,2.2375183506653364,-1.0,-1.0,-1.0,-1.0,3.5756017512178913
51.0,1.9215511107716334,2.308491102777644,-1.0,-1.0,-1.0,-1.0,3.051553538240824
52.0,2.0948241227228355,2.3895514254416637,-1.0,-1.0,-1.0,-1.0,2.9268772390596434
53.0,2.238543276786316,2.5076451430245545,-1.0,-1.0,-1.0,-1.0,3.781750897248151
54.0,2.095232931687014,2.3802416745520802,-1.0,-1.0,-1.0,-1.0,3.4075334960652546
55.0,2.217427126392476,2.5044642273268156,-1.0,-1.0,-1.0,-1.0,2.944002412346167
56.0,2.231173318149498,2.4698378302998134,-1.0,-1.0,-1.0,-1.0,3.296923321262719
57.0,2.0152534114017,2.319437874377046,-1.0,-1.0,-1.0,-1.0,3.669903892197183
58.0,1.9915889008610024,2.2741712471170916,-1.0,-1.0,-1.0,-1.0,3.0148361781418624
59.0,1.9854555316369167,2.326696788186489,-1.0,-1.0,-1.0,-1.0,3.1683848815652356
60.0,2.0783679767716197,2.3976105738061166,-1.0,-1.0,-1.0,-1.0,3.196330775809319
61.0,2.2308378955191177,2.5047439742409896,-1.0,-1.0,-1.0,-1.0,3.2052241070141916
62.0,2.409142912967035,2.574232287836101,-1.0,-1.0,-1.0,-1.0,3.5804743561281644
63.0,2.2309736202227275,2.4911851390714483,-1.0,-1.0,-1.0,-1.0,3.10776560944088
64.0,2.1685020466011857,2.43870805363604,-1.0,-1.0,-1.0,-1.0,2.9722604133698947
65.0,2.2350886796261706,2.4002124888826324,-1.0,-1.0,-1.0,-1.0,4.078795171144072
66.0,2.3593610316409857,2.5296712250896647,-1.0,-1.0,-1.0,-1.0,3.3450038780350977
67.0,2.10744035841213,2.3826134246976474,-1.0,-1.0,-1.0,-1.0,3.4162730518932563
68.0,2.2045820376512153,2.446237526659439,-1.0,-1.0,-1.0,-1.0,2.997559224564166
69.0,2.001253375946713,2.3476432409450845,-1.0,-1.0,-1.0,-1.0,3.150709668732424
70.0,2.0118554455228708,2.3826475020240796,-1.0,-1.0,-1.0,-1.0,2.568187309952563
71.0,1.9238309236793332,2.3208180328224706,-1.0,-1.0,-1.0,-1.0,3.1636174159194095
72.0,1.9604365587553967,2.34645198138588,-1.0,-1.0,-1.0,-1.0,3.30379345878041
73.0,2.0165596558762955,2.3519196577232866,-1.0,-1.0,-1.0,-1.0,3.4623017242284875
74.0,1.9644530630577732,2.2392953010657677,-1.0,-1.0,-1.0,-1.0,3.7729916683750155
75.0,2.0847857149795366,2.3202082426868293,-1.0,-1.0,-1.0,-1.0,3.7657495201855373
76.0,2.12524125695589,2.4002213883869508,-1.0,-1.0,-1.0,-1.0,3.618899127027861
77.0,2.1410167599843186,2.4076745081870157,-1.0,-1.0,-1.0,-1.0,2.964539000291884
78.0,2.1320580467865216,2.393334736887316,-1.0,-1.0,-1.0,-1.0,2.914062398584514
79.0,2.324468679031954,2.490486206672619,-1.0,-1.0,-1.0,-1.0,3.5137533481066536
80.0,2.1837022567195365,2.433500194788727,-1.0,-1.0,-1.0,-1.0,3.017413693929307
81.0,2.179967617344063,2.449694038826584,-1.0,-1.0,-1.0,-1.0,2.9773583735755915
82.0,2.149747205667589,2.4053549855251593,-1.0,-1.0,-1.0,-1.0,2.750382560236541
83.0,2.2304270995626543,2.473837757185354,-1.0,-1.0,-1.0,-1.0,3.3724748461189065
84.0,2.277390217788425,2.460489553483894,-1.0,-1.0,-1.0,-1.0,3.440661746990332
85.0,2.179540189722181,2.3678291021290443,-1.0,-1.0,-1.0,-1.0,3.566086337200551
86.0,2.293159256431603,2.404561739712375,-1.0,-1.0,-1.0,-1.0,3.5470825875795393
