Frame,RMSD of the whole system (alignment on cores),RMSD of tubulin core A (alignement on tubulin core A),RMSD of tubulin core B (alignement on tubulin core B),RMSD of tubulin core C (alignement on tubulin core C),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on core A)","RMSD of CTT B (beta chain, alignment on core B)","RMSD of CTT C (beta chain, alignment on core C)",RMSD of R2 (alignment on R2)
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0
1.0,1.0872858530316314,1.2100494680820297,0.8886000892292215,1.0997015208427998,1.3655973920618976,-1.0,-1.0,-1.0,1.6387981908225178
2.0,1.332564180450324,1.6421579711954812,1.0917638199741804,1.1901578986193244,1.5785277403155644,-1.0,-1.0,-1.0,1.545623834660622
3.0,1.3647716815843272,1.6330513243653912,1.238610249794779,1.1480487187730075,1.6725570989118297,-1.0,-1.0,-1.0,1.76198620596338
4.0,1.3659828740546482,1.574773170552645,1.1981703409027278,1.2526648563959863,1.724229782027122,-1.0,-1.0,-1.0,1.9641799873813546
5.0,1.494201429885128,1.6911803353629822,1.4635103913299194,1.221142422657883,1.830201077773805,-1.0,-1.0,-1.0,2.3521218190058666
6.0,1.646723394423904,2.0928554597093147,1.3449167863171398,1.3358962090092246,1.8887430415325726,-1.0,-1.0,-1.0,2.385208714441993
7.0,1.4832507233398797,1.6887888403056606,1.3685048343291564,1.2367110030574826,1.8406365557931257,-1.0,-1.0,-1.0,2.8019690070143968
8.0,1.630964913424268,1.896453219660406,1.4569870576968391,1.2794019955846005,1.8913291368889742,-1.0,-1.0,-1.0,3.5820880726125024
9.0,1.8128902269651033,2.4401542412153647,1.3787087549379926,1.2882578647860827,1.9423329222313057,-1.0,-1.0,-1.0,3.0655866590065552
10.0,1.8317093638093296,2.414274213155878,1.3760304601196178,1.3994019485698908,1.9992563065753632,-1.0,-1.0,-1.0,3.1840297407122344
11.0,1.9043923814875887,2.4710584604022063,1.3575153709041203,1.4683407777382758,2.038446392210016,-1.0,-1.0,-1.0,4.094362685833943
12.0,2.0444604088392095,2.6251224178609758,1.5685929791577629,1.5547471905192778,2.163929243613392,-1.0,-1.0,-1.0,4.148944090594887
13.0,2.0929512760838973,2.676376248458233,1.482952580178512,1.6901639872429286,2.211078918316527,-1.0,-1.0,-1.0,4.476835491380878
14.0,1.8841146524459627,2.4121844902085807,1.3592333036238342,1.4945565046890419,2.0386336405883174,-1.0,-1.0,-1.0,4.030825284300647
15.0,1.8486036558298087,2.269026755008573,1.546291637073388,1.3440161123992649,2.0605880963479764,-1.0,-1.0,-1.0,4.277797728433692
16.0,1.944654499268296,2.4114315246683535,1.7539020784478856,1.275292630343374,2.1412497704824345,-1.0,-1.0,-1.0,4.1555420263050085
17.0,2.1028752907919315,2.6272896538376957,1.7322620809463014,1.5542866321574946,2.222954357147432,-1.0,-1.0,-1.0,4.486987859621115
18.0,1.9025224294264182,2.298804650701698,1.6871766381814006,1.3426508245938364,2.1219175172731584,-1.0,-1.0,-1.0,4.323019541470192
19.0,1.8880427576818102,2.280547697831791,1.6000263276944742,1.3075445686613738,2.081745356105498,-1.0,-1.0,-1.0,4.846426817469475
