Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
0.0,8.485652620873149e-08,6.107695316381958e-07,-1.0,-1.0,-1.0,-1.0,2.4447362234576184e-07
1.0,0.9547293570756883,1.2803503303149733,-1.0,-1.0,-1.0,-1.0,0.9838427740430034
2.0,1.060254913925962,1.4310448222912813,-1.0,-1.0,-1.0,-1.0,1.2651181661012947
3.0,1.259381456788172,1.5880884292779556,-1.0,-1.0,-1.0,-1.0,1.3262717156147132
4.0,1.4875933106485741,1.733835534803389,-1.0,-1.0,-1.0,-1.0,1.7175059092143474
5.0,1.352803221474517,1.716037574343324,-1.0,-1.0,-1.0,-1.0,2.339372165184765
6.0,1.2154355172300808,1.6189472475952027,-1.0,-1.0,-1.0,-1.0,2.2347455229826125
7.0,1.2670322893905857,1.6469035876262688,-1.0,-1.0,-1.0,-1.0,2.222561333203287
8.0,1.3639234405533118,1.729636695856899,-1.0,-1.0,-1.0,-1.0,2.435977539349233
9.0,1.4692024309458576,1.8096995534936504,-1.0,-1.0,-1.0,-1.0,2.8776208669681442
10.0,1.5304355241071415,1.868872412751697,-1.0,-1.0,-1.0,-1.0,2.736547188972813
11.0,1.4694091488333867,1.894775559315707,-1.0,-1.0,-1.0,-1.0,2.43656010090158
12.0,1.6181377058362565,2.004182362864218,-1.0,-1.0,-1.0,-1.0,2.784232152606265
13.0,1.5192039551536087,1.8432236564639692,-1.0,-1.0,-1.0,-1.0,2.494023943300088
14.0,1.4863462021055065,1.854329381105971,-1.0,-1.0,-1.0,-1.0,2.5311903955545914
15.0,1.6616226177537248,1.9515886046510889,-1.0,-1.0,-1.0,-1.0,2.4464893589006715
16.0,1.6688224372408722,1.967809655357236,-1.0,-1.0,-1.0,-1.0,2.661436115921279
17.0,1.7631402996420817,2.1086112786897218,-1.0,-1.0,-1.0,-1.0,2.087496123641825
18.0,1.5982927326840854,1.9903098625281836,-1.0,-1.0,-1.0,-1.0,2.1489257757873386
19.0,1.5915822137290316,1.9230380452660236,-1.0,-1.0,-1.0,-1.0,2.3040134746170042
20.0,1.542734226415211,1.9162939135085362,-1.0,-1.0,-1.0,-1.0,2.2567516883201777
21.0,1.529427142039144,1.9636275088534485,-1.0,-1.0,-1.0,-1.0,2.4374139509600625
22.0,1.6219914875605395,2.039939499138631,-1.0,-1.0,-1.0,-1.0,2.59792529776004
23.0,1.8387610474660097,2.167889495387746,-1.0,-1.0,-1.0,-1.0,2.6557979675640455
24.0,1.8111898823039534,2.1259774775712352,-1.0,-1.0,-1.0,-1.0,2.1431726975218965
25.0,1.778927511326261,2.070387696793845,-1.0,-1.0,-1.0,-1.0,2.7270743494941145
26.0,1.8326693361942679,2.1263413814818954,-1.0,-1.0,-1.0,-1.0,2.6116370145524996
27.0,1.8239476206962775,2.1319077346758317,-1.0,-1.0,-1.0,-1.0,2.100251633613154
28.0,1.9427649458495582,2.1510101641744868,-1.0,-1.0,-1.0,-1.0,2.0416065203611216
29.0,1.869775825752463,2.0998062160145823,-1.0,-1.0,-1.0,-1.0,2.149215005278259
30.0,1.9114437196981953,2.126021383993999,-1.0,-1.0,-1.0,-1.0,2.462161717026935
31.0,1.9515274717074829,2.12686620745246,-1.0,-1.0,-1.0,-1.0,2.4847465861491154
32.0,2.1071590114581977,2.2710373043200627,-1.0,-1.0,-1.0,-1.0,2.5147440160649084
33.0,2.044220482677957,2.250277308587917,-1.0,-1.0,-1.0,-1.0,2.847553900442006
34.0,2.4213652703182924,2.4513530708438327,-1.0,-1.0,-1.0,-1.0,2.9963103837728364
35.0,2.232907024110906,2.3814093290155722,-1.0,-1.0,-1.0,-1.0,2.6074614974772823
36.0,2.30770427530411,2.436490103475077,-1.0,-1.0,-1.0,-1.0,2.5322092283717494
37.0,2.222656656492936,2.3713185955076894,-1.0,-1.0,-1.0,-1.0,2.560472338169952
38.0,2.1856056875989855,2.3360772804133387,-1.0,-1.0,-1.0,-1.0,2.6804508476068243
39.0,2.1054631523695826,2.34856775845332,-1.0,-1.0,-1.0,-1.0,3.070267768976596
40.0,2.242715917154516,2.4138827528395717,-1.0,-1.0,-1.0,-1.0,3.0578434542688258
41.0,2.189504119842903,2.4667864044446723,-1.0,-1.0,-1.0,-1.0,2.896412078587802
42.0,2.2083177035463675,2.4865114766629035,-1.0,-1.0,-1.0,-1.0,2.557042849804106
43.0,2.094219963426755,2.4137750557276716,-1.0,-1.0,-1.0,-1.0,2.7866024978052564
44.0,2.0687063844849507,2.390806668193491,-1.0,-1.0,-1.0,-1.0,2.695547663477343
45.0,2.069058113696204,2.3765604726193885,-1.0,-1.0,-1.0,-1.0,2.6386963564048616
46.0,2.373756065584575,2.581297009884993,-1.0,-1.0,-1.0,-1.0,2.555251664711264
47.0,2.3219195021016836,2.5694500977420898,-1.0,-1.0,-1.0,-1.0,2.49675384584034
48.0,2.2937907253108474,2.577091202364752,-1.0,-1.0,-1.0,-1.0,2.2416251850274054
49.0,2.178586757783624,2.450131715221153,-1.0,-1.0,-1.0,-1.0,2.3770025418930687
50.0,2.360303184563986,2.627099066923742,-1.0,-1.0,-1.0,-1.0,2.1886744955522834
51.0,2.2387138991687365,2.501857826245674,-1.0,-1.0,-1.0,-1.0,2.4509244214593413
52.0,2.1544304402607324,2.4962688796752213,-1.0,-1.0,-1.0,-1.0,2.539663287779464
53.0,1.9799297134265437,2.33856357998354,-1.0,-1.0,-1.0,-1.0,2.3571555184908295
54.0,2.084883537331558,2.3493938483001564,-1.0,-1.0,-1.0,-1.0,3.109685760286133
55.0,2.038621768166669,2.3241886826535048,-1.0,-1.0,-1.0,-1.0,2.5839538012497165
56.0,2.1003641210203736,2.375881049832662,-1.0,-1.0,-1.0,-1.0,2.62511777690375
57.0,2.2351261972667515,2.4822331918723397,-1.0,-1.0,-1.0,-1.0,2.395752627394369
58.0,2.3270697729188674,2.443109740542545,-1.0,-1.0,-1.0,-1.0,2.7323499542865664
59.0,2.40197397677904,2.5549324463520233,-1.0,-1.0,-1.0,-1.0,2.4052291427994317
60.0,2.401972107578204,2.5495192863527323,-1.0,-1.0,-1.0,-1.0,2.4469213795625415
61.0,2.308184876532036,2.4745589257697462,-1.0,-1.0,-1.0,-1.0,3.0442068977855548
62.0,2.2741671184493684,2.472458528459122,-1.0,-1.0,-1.0,-1.0,2.840559157925029
63.0,2.374624040747104,2.5663905506618288,-1.0,-1.0,-1.0,-1.0,2.8614715752235766
64.0,2.1021176468137366,2.3223076971107957,-1.0,-1.0,-1.0,-1.0,2.90311112358968
65.0,2.5256158165620843,2.64134139241099,-1.0,-1.0,-1.0,-1.0,2.9780320956463617
66.0,2.483877254411991,2.6727750916272575,-1.0,-1.0,-1.0,-1.0,3.5658060404317347
67.0,2.58870464055668,2.7469744152546705,-1.0,-1.0,-1.0,-1.0,3.2722586520268875
68.0,2.4260900685814586,2.672445438004617,-1.0,-1.0,-1.0,-1.0,3.0124279166671095
69.0,2.529667468277835,2.706747689500729,-1.0,-1.0,-1.0,-1.0,3.376301700978137
70.0,2.397102414604018,2.6551552730260783,-1.0,-1.0,-1.0,-1.0,3.547922029380898
71.0,2.6017981033395334,2.7279619288366,-1.0,-1.0,-1.0,-1.0,3.2868714653332014
72.0,2.340263041800439,2.5542872508413366,-1.0,-1.0,-1.0,-1.0,2.9155675995195236
73.0,2.4004804651393035,2.600792907715098,-1.0,-1.0,-1.0,-1.0,3.3562968454281195
74.0,2.407317594419259,2.606652387136821,-1.0,-1.0,-1.0,-1.0,3.5368069051363538
75.0,2.367365866060398,2.612584726376737,-1.0,-1.0,-1.0,-1.0,3.4581197328932465
76.0,2.779428007551995,2.824397981565743,-1.0,-1.0,-1.0,-1.0,3.8043208588582904
77.0,2.548245569437821,2.6083827582197623,-1.0,-1.0,-1.0,-1.0,3.224694875496794
78.0,2.485149689750083,2.577034211282268,-1.0,-1.0,-1.0,-1.0,3.6198633093341637
79.0,2.384961725712587,2.5136401129826957,-1.0,-1.0,-1.0,-1.0,3.435287560698638
80.0,2.493511166841639,2.523772575955122,-1.0,-1.0,-1.0,-1.0,3.9702291780770396
81.0,2.5845811409182318,2.6005368723755993,-1.0,-1.0,-1.0,-1.0,4.086251855379632
82.0,2.400547381539852,2.572037113967842,-1.0,-1.0,-1.0,-1.0,3.909586481778185
83.0,2.4606625748015674,2.5913141573405962,-1.0,-1.0,-1.0,-1.0,3.26706632321134
84.0,2.3143195677074115,2.5214637568828744,-1.0,-1.0,-1.0,-1.0,2.6280459430042415
85.0,2.252583956668075,2.4776721811597584,-1.0,-1.0,-1.0,-1.0,2.8336969551695734
86.0,2.573130439125264,2.653999206122056,-1.0,-1.0,-1.0,-1.0,2.793804205017919
87.0,2.4776721436380473,2.5812973434518436,-1.0,-1.0,-1.0,-1.0,2.939022242219577
88.0,2.551332894334919,2.6697761297947036,-1.0,-1.0,-1.0,-1.0,3.3128653287571788
89.0,2.5384452585913055,2.6712330172692584,-1.0,-1.0,-1.0,-1.0,3.3471174743566485
90.0,2.3975092917614313,2.5614795233557506,-1.0,-1.0,-1.0,-1.0,3.2294560606997025
91.0,2.3962499770868937,2.6129837894620733,-1.0,-1.0,-1.0,-1.0,3.057911692338611
92.0,2.549553994448844,2.597846202559915,-1.0,-1.0,-1.0,-1.0,3.2444572216202716
93.0,2.5124804583141485,2.66986115639622,-1.0,-1.0,-1.0,-1.0,3.3636069109130395
94.0,2.284936117414209,2.5672048369044194,-1.0,-1.0,-1.0,-1.0,3.2217080522443786
95.0,2.5472426390635863,2.7262517626507883,-1.0,-1.0,-1.0,-1.0,3.2747218882413045
96.0,2.597308067346343,2.7903327002296323,-1.0,-1.0,-1.0,-1.0,3.285342248285617
97.0,2.5798337501895396,2.7716196851962813,-1.0,-1.0,-1.0,-1.0,3.0260956057968924
98.0,2.7062165534398175,2.810300924276219,-1.0,-1.0,-1.0,-1.0,3.320685864723326
99.0,2.6236526754675094,2.7263005948699353,-1.0,-1.0,-1.0,-1.0,3.309273303376153
100.0,2.1961943791390577,2.489014229845064,-1.0,-1.0,-1.0,-1.0,3.2000997181226696
101.0,2.326613706302159,2.5591416214038243,-1.0,-1.0,-1.0,-1.0,3.25058507883982
102.0,2.3804571826129175,2.6252658288581077,-1.0,-1.0,-1.0,-1.0,3.3167340792933886
103.0,2.392689779414709,2.6145483573748978,-1.0,-1.0,-1.0,-1.0,3.173539629213182
104.0,2.4197868800190454,2.5861499544482878,-1.0,-1.0,-1.0,-1.0,3.3081032961247367
105.0,2.460399086785839,2.6459704136114626,-1.0,-1.0,-1.0,-1.0,3.046547088323771
106.0,2.5872023031858684,2.7047574195987885,-1.0,-1.0,-1.0,-1.0,3.525763455014991
107.0,2.4763853948242818,2.6296656840021093,-1.0,-1.0,-1.0,-1.0,3.928317940108952
108.0,2.381875635455072,2.584090860890008,-1.0,-1.0,-1.0,-1.0,3.8615938320796737
109.0,2.47189025747303,2.70913456209631,-1.0,-1.0,-1.0,-1.0,3.8500215855473887
110.0,2.1776990435256867,2.4866549135712797,-1.0,-1.0,-1.0,-1.0,4.340844079386856
111.0,2.180467723305241,2.4538958362312555,-1.0,-1.0,-1.0,-1.0,3.3743068700478376
112.0,2.1003579635197336,2.4593835276971157,-1.0,-1.0,-1.0,-1.0,3.3101716262746295
113.0,2.0823620103255442,2.422485936272671,-1.0,-1.0,-1.0,-1.0,3.1891331833388
114.0,2.3006150864230723,2.5279856082054715,-1.0,-1.0,-1.0,-1.0,3.6443284259258646
115.0,2.212741555194174,2.451301451325143,-1.0,-1.0,-1.0,-1.0,3.832739175612822
116.0,2.170634558260153,2.481426778571297,-1.0,-1.0,-1.0,-1.0,3.415812254499459
117.0,2.0032049344433878,2.3432821561479447,-1.0,-1.0,-1.0,-1.0,3.674928396386181
118.0,2.0377835230654506,2.4257187306149555,-1.0,-1.0,-1.0,-1.0,3.536305799033882
119.0,2.368247581713503,2.601438586511155,-1.0,-1.0,-1.0,-1.0,3.563327748793519
120.0,2.3538511795133323,2.6510568392668863,-1.0,-1.0,-1.0,-1.0,3.233712421324272
121.0,2.2148084178846177,2.5348054223872896,-1.0,-1.0,-1.0,-1.0,3.666557745019114
122.0,2.0859330219977714,2.400567257834149,-1.0,-1.0,-1.0,-1.0,3.734492602643796
123.0,2.1785620484641743,2.4730788975807885,-1.0,-1.0,-1.0,-1.0,3.9492591729122166
124.0,2.1221086405561995,2.4301730417549035,-1.0,-1.0,-1.0,-1.0,3.7622497122751284
125.0,2.178953781290794,2.4612071645977323,-1.0,-1.0,-1.0,-1.0,3.947421619120921
126.0,2.0266741922077043,2.3514825995561437,-1.0,-1.0,-1.0,-1.0,3.3663402808524987
127.0,1.9428881459968557,2.33553627137213,-1.0,-1.0,-1.0,-1.0,3.7047219929469954
128.0,1.9391423014402227,2.3757760401221657,-1.0,-1.0,-1.0,-1.0,3.3134383557916203
129.0,1.9502979828305669,2.3639652462147294,-1.0,-1.0,-1.0,-1.0,3.369929988734033
130.0,2.1988895535755657,2.427953917404035,-1.0,-1.0,-1.0,-1.0,3.06456059242898
131.0,2.2722793656359372,2.451409875560654,-1.0,-1.0,-1.0,-1.0,3.455196507079587
132.0,2.219642872723931,2.474530169725647,-1.0,-1.0,-1.0,-1.0,4.277408010984873
133.0,2.129916787977122,2.404555030529437,-1.0,-1.0,-1.0,-1.0,3.792335582126842
134.0,2.083787365660369,2.3530184175060023,-1.0,-1.0,-1.0,-1.0,4.646334547950991
135.0,2.3236909088061743,2.557116042590704,-1.0,-1.0,-1.0,-1.0,5.068517216081069
136.0,2.2503753038604644,2.4861054375682117,-1.0,-1.0,-1.0,-1.0,5.204379284577999
137.0,2.4135293943174165,2.5488247799149204,-1.0,-1.0,-1.0,-1.0,5.411512157303779
138.0,2.4394132825465262,2.538334977215146,-1.0,-1.0,-1.0,-1.0,5.09057402301194
139.0,2.3665721960967567,2.569593443047822,-1.0,-1.0,-1.0,-1.0,5.093821734245101
140.0,2.334156952865564,2.5675406357192005,-1.0,-1.0,-1.0,-1.0,4.033835073054299
141.0,2.467844399639761,2.651771018370769,-1.0,-1.0,-1.0,-1.0,4.377100045331249
142.0,2.3196143299500185,2.581526546401016,-1.0,-1.0,-1.0,-1.0,4.945139520903221
143.0,2.5010710616459435,2.640228023593367,-1.0,-1.0,-1.0,-1.0,4.737940174338232
144.0,2.322458637497223,2.5446376448667754,-1.0,-1.0,-1.0,-1.0,5.123402876552462
145.0,2.5943302416085996,2.6152892775772374,-1.0,-1.0,-1.0,-1.0,5.676353605312469
146.0,2.6969459601198267,2.653144623913832,-1.0,-1.0,-1.0,-1.0,7.064362156187844
147.0,2.648870502721193,2.725189261404297,-1.0,-1.0,-1.0,-1.0,6.349897142238434
148.0,2.7046144948334625,2.802923692610928,-1.0,-1.0,-1.0,-1.0,6.032632598394098
149.0,2.8999904567749732,2.8673075804048365,-1.0,-1.0,-1.0,-1.0,5.6779677444408145
150.0,2.6304171174934607,2.7617953116492857,-1.0,-1.0,-1.0,-1.0,5.51113398898952
151.0,2.597146042368132,2.6955210318152196,-1.0,-1.0,-1.0,-1.0,5.8973150542738715
152.0,2.418268837434102,2.5399814244210996,-1.0,-1.0,-1.0,-1.0,6.321802713501085
153.0,2.495259937221997,2.5982028039817036,-1.0,-1.0,-1.0,-1.0,6.765392789948168
154.0,2.550653395517833,2.7010273174307526,-1.0,-1.0,-1.0,-1.0,6.527348240458
155.0,2.7234735734814826,2.735346397621577,-1.0,-1.0,-1.0,-1.0,6.03987487651186
156.0,2.5790821994720283,2.6543109540137984,-1.0,-1.0,-1.0,-1.0,6.439915237201421
157.0,2.568281015089947,2.701077433105954,-1.0,-1.0,-1.0,-1.0,5.690000943472409
158.0,2.501934618952232,2.6777229131300957,-1.0,-1.0,-1.0,-1.0,5.275955747698335
159.0,2.413441272330711,2.596763723349155,-1.0,-1.0,-1.0,-1.0,5.763784863687342
160.0,2.4231204612779824,2.620847513817613,-1.0,-1.0,-1.0,-1.0,5.08638824546309
161.0,2.3976535654504225,2.708120829095774,-1.0,-1.0,-1.0,-1.0,5.049010702334883
162.0,2.470360138796344,2.605742507510283,-1.0,-1.0,-1.0,-1.0,5.531815400563976
163.0,2.5336853024332915,2.658259205260738,-1.0,-1.0,-1.0,-1.0,5.8415064271352595
164.0,2.810891546933561,2.7839749526625717,-1.0,-1.0,-1.0,-1.0,5.974145273389068
165.0,2.5530666799758053,2.6943568496886456,-1.0,-1.0,-1.0,-1.0,6.319980365783866
166.0,2.4541054096622545,2.532503299215307,-1.0,-1.0,-1.0,-1.0,6.980326791885977
167.0,2.5044048553513103,2.6077075520338,-1.0,-1.0,-1.0,-1.0,6.737524082894508
168.0,2.280495418488063,2.4446163524177607,-1.0,-1.0,-1.0,-1.0,6.62638263082061
169.0,2.3282081232042313,2.520646820031782,-1.0,-1.0,-1.0,-1.0,6.376129038670669
170.0,2.1995543212212887,2.4256882568135048,-1.0,-1.0,-1.0,-1.0,6.140131866827528
171.0,2.5021699660069685,2.635137167942632,-1.0,-1.0,-1.0,-1.0,6.164505335893432
172.0,2.334734690765932,2.536120806600309,-1.0,-1.0,-1.0,-1.0,6.274677886435883
173.0,2.3796830587561226,2.565374104792044,-1.0,-1.0,-1.0,-1.0,6.116957834707301
174.0,2.3346257975452582,2.5183103411349723,-1.0,-1.0,-1.0,-1.0,6.191760289156157
175.0,2.6517599586632645,2.72445102962407,-1.0,-1.0,-1.0,-1.0,6.422515934000685
176.0,2.448231490369618,2.5795524551700417,-1.0,-1.0,-1.0,-1.0,6.219416290590639
177.0,2.3694615525748173,2.5950263844588672,-1.0,-1.0,-1.0,-1.0,6.004434462296587
178.0,2.214383803019451,2.4801631591174536,-1.0,-1.0,-1.0,-1.0,5.5177300252044335
179.0,2.4141172596952103,2.6259079460607984,-1.0,-1.0,-1.0,-1.0,5.7596907025010315
180.0,2.230398030605635,2.482659933420823,-1.0,-1.0,-1.0,-1.0,6.140467733807199
181.0,2.3420831758514287,2.5172297996046953,-1.0,-1.0,-1.0,-1.0,6.380965942091361
182.0,2.561640733120135,2.6346415198137096,-1.0,-1.0,-1.0,-1.0,6.179150689840604
183.0,2.365260846997454,2.5781802451363225,-1.0,-1.0,-1.0,-1.0,6.145007249681436
184.0,2.5344600076963135,2.6575282977225023,-1.0,-1.0,-1.0,-1.0,6.313404121398478
185.0,2.5534804308824652,2.6705870187151928,-1.0,-1.0,-1.0,-1.0,6.3597603613916345
186.0,2.385206535407581,2.5561146018430296,-1.0,-1.0,-1.0,-1.0,6.510627208709193
187.0,2.332037936089917,2.5299760701956613,-1.0,-1.0,-1.0,-1.0,6.577167765663231
188.0,2.340643989171808,2.535545907818781,-1.0,-1.0,-1.0,-1.0,6.787219852532973
189.0,2.250821296131821,2.4864504077781255,-1.0,-1.0,-1.0,-1.0,6.156861910631955
190.0,2.353491245844288,2.5488524710770113,-1.0,-1.0,-1.0,-1.0,5.814856609090133
191.0,2.561192859486224,2.6628596489110987,-1.0,-1.0,-1.0,-1.0,6.742182908566286
192.0,2.4347407642360723,2.5891696863448193,-1.0,-1.0,-1.0,-1.0,6.784681200608506
193.0,2.44710528725025,2.5506041343578936,-1.0,-1.0,-1.0,-1.0,6.93451409259821
